E,<Daa>,Prec_Ratio
9.9999994e-02,0.0000000e+00,0.0000000e+00
1.1318200e-01,0.0000000e+00,0.0000000e+00
1.3361700e-01,0.0000000e+00,0.0000000e+00
1.5774100e-01,0.0000000e+00,0.0000000e+00
1.8622001e-01,0.0000000e+00,0.0000000e+00
2.1984099e-01,0.0000000e+00,0.0000000e+00
2.5953200e-01,0.0000000e+00,0.0000000e+00
3.0000001e-01,0.0000000e+00,0.0000000e+00
3.6170501e-01,0.0000000e+00,0.0000000e+00
4.2700902e-01,0.0000000e+00,0.0000000e+00
5.0410300e-01,0.0000000e+00,0.0000000e+00
5.9511602e-01,0.0000000e+00,0.0000000e+00
7.0256102e-01,0.0000000e+00,0.0000000e+00
8.2940400e-01,0.0000000e+00,0.0000000e+00
1.0000000e+00,0.0000000e+00,0.0000000e+00
1.1318201e+00,0.0000000e+00,0.0000000e+00
1.3361700e+00,1.1620100e-08,5.0493947e-03
1.5774100e+00,2.4400799e-06,6.9487594e-02
1.8622000e+00,6.7565903e-05,3.2353874e-01
2.1984100e+00,3.5498600e-04,6.0492104e-01
2.5953202e+00,1.1680800e-03,8.0243123e-01
3.0000000e+00,3.4541099e-03,9.1398892e-01
3.6170499e+00,1.3525000e-02,9.7374558e-01
4.2700896e+00,2.2989500e-02,9.8301921e-01
5.0410299e+00,3.2476101e-02,9.8688526e-01
5.9511600e+00,4.1588198e-02,9.8885751e-01
7.0256100e+00,4.9509700e-02,9.8983282e-01
8.2940407e+00,5.5653401e-02,9.9018588e-01
1.0000000e+01,5.9599899e-02,9.8996492e-01
1.1318200e+01,6.0226500e-02,9.8946217e-01
1.3361700e+01,5.8601800e-02,9.8828581e-01
1.5774099e+01,5.4515101e-02,9.8639962e-01
1.8622000e+01,4.8641600e-02,9.8356828e-01
2.1984100e+01,4.1777600e-02,9.7942754e-01
2.5953199e+01,3.4685101e-02,9.7344415e-01
3.0000000e+01,2.8776400e-02,9.6612317e-01
3.5416302e+01,2.2685099e-02,9.5440781e-01
4.1810501e+01,1.7509500e-02,9.3785836e-01
4.9359200e+01,1.3296800e-02,9.1489455e-01
5.8270699e+01,9.9814702e-03,8.8386485e-01
6.8791100e+01,7.4248398e-03,8.4320525e-01
8.1210999e+01,5.4783900e-03,7.9188157e-01
1.0000000e+02,3.6755800e-03,7.1156013e-01
1.1318200e+02,2.8790999e-03,6.5710467e-01
1.3361700e+02,2.0740600e-03,5.8101901e-01
1.5774100e+02,1.4905300e-03,5.0522504e-01
1.8622000e+02,1.0673100e-03,4.3339423e-01
2.1984100e+02,7.6249702e-04,3.6829485e-01
2.5953201e+02,5.4293999e-04,3.1083962e-01
3.0000000e+02,4.0235100e-04,2.6694054e-01
3.6170502e+02,2.7192899e-04,2.1833280e-01
4.2700897e+02,1.9093600e-04,1.8195999e-01
5.0410300e+02,1.3399500e-04,1.5155528e-01
5.9511603e+02,9.3490497e-05,1.2589138e-01
7.0256104e+02,6.5241402e-05,1.0462037e-01
8.2940399e+02,4.5403402e-05,8.6874439e-02
1.0000000e+03,3.0101201e-05,7.0422597e-02
1.1559301e+03,2.1975200e-05,5.9995822e-02
1.3646200e+03,1.5412101e-05,5.0104057e-02
1.6110000e+03,1.0757800e-05,4.1768834e-02
1.9018600e+03,7.5927601e-06,3.5029205e-02
2.2452200e+03,5.3863300e-06,2.9464039e-02
2.6505898e+03,3.8402900e-06,2.4853354e-02
3.0000000e+03,2.9847899e-06,2.1898038e-02
3.6940801e+03,1.9753800e-06,1.7800848e-02
4.3610303e+03,1.4285901e-06,1.5130805e-02
5.1483896e+03,1.0292700e-06,1.2837793e-02
6.0778999e+03,7.4477100e-07,1.0915581e-02
7.1752300e+03,5.4104697e-07,9.2988237e-03
8.4706699e+03,3.9110600e-07,7.9006409e-03
1.0000000e+04,2.8372699e-07,6.7229984e-03
