E,<Daa>,Prec_Ratio
9.9999994e-02,0.0000000e+00,0.0000000e+00
1.1318200e-01,0.0000000e+00,0.0000000e+00
1.3361700e-01,0.0000000e+00,0.0000000e+00
1.5774100e-01,0.0000000e+00,0.0000000e+00
1.8622001e-01,0.0000000e+00,0.0000000e+00
2.1984099e-01,0.0000000e+00,0.0000000e+00
2.5953200e-01,0.0000000e+00,0.0000000e+00
3.0000001e-01,0.0000000e+00,0.0000000e+00
3.6170501e-01,0.0000000e+00,0.0000000e+00
4.2700902e-01,0.0000000e+00,0.0000000e+00
5.0410300e-01,0.0000000e+00,0.0000000e+00
5.9511602e-01,0.0000000e+00,0.0000000e+00
7.0256102e-01,0.0000000e+00,0.0000000e+00
8.2940400e-01,0.0000000e+00,0.0000000e+00
1.0000000e+00,0.0000000e+00,0.0000000e+00
1.1318201e+00,0.0000000e+00,0.0000000e+00
1.3361700e+00,2.9842400e-09,0.0000000e+00
1.5774100e+00,7.1578302e-07,3.7947389e-02
1.8622000e+00,1.8650000e-05,1.7865719e-01
2.1984100e+00,9.3924697e-05,3.6060781e-01
2.5953202e+00,3.0510500e-04,5.5867252e-01
3.0000000e+00,9.0735400e-04,7.5123607e-01
3.6170499e+00,3.5208999e-03,9.0822707e-01
4.2700896e+00,6.0669300e-03,9.3946443e-01
5.0410299e+00,8.7165004e-03,9.5335442e-01
5.9511600e+00,1.1428600e-02,9.6097948e-01
7.0256100e+00,1.3898000e-02,9.6499443e-01
8.2940407e+00,1.6038099e-02,9.6700867e-01
1.0000000e+01,1.7750399e-02,9.6733414e-01
1.1318200e+01,1.8376200e-02,9.6653203e-01
1.3361700e+01,1.8542301e-02,9.6418411e-01
1.5774099e+01,1.7983800e-02,9.6023400e-01
1.8622000e+01,1.6837001e-02,9.5441089e-01
2.1984100e+01,1.5279300e-02,9.4629598e-01
2.5953199e+01,1.3501500e-02,9.3535540e-01
3.0000000e+01,1.1898600e-02,9.2298033e-01
3.5416302e+01,1.0116000e-02,9.0489723e-01
4.1810501e+01,8.4717702e-03,8.8191622e-01
4.9359200e+01,7.0136702e-03,8.5339365e-01
5.8270699e+01,5.7601798e-03,8.1899795e-01
6.8791100e+01,4.6889898e-03,7.7824855e-01
8.1210999e+01,3.7742199e-03,7.3077734e-01
1.0000000e+02,2.8375301e-03,6.6322700e-01
1.1318200e+02,2.3817900e-03,6.2014836e-01
1.3361700e+02,1.8779300e-03,5.6137418e-01
1.5774100e+02,1.4697900e-03,5.0253601e-01
1.8622000e+02,1.1409500e-03,4.4535699e-01
2.1984100e+02,8.8103500e-04,3.9181429e-01
2.5953201e+02,6.7572400e-04,3.4250335e-01
3.0000000e+02,5.3286302e-04,3.0319668e-01
3.6170502e+02,3.8850601e-04,2.5756602e-01
4.2700897e+02,2.9021301e-04,2.2153352e-01
5.0410300e+02,2.1621201e-04,1.9026368e-01
5.9511603e+02,1.5924200e-04,1.6254244e-01
7.0256104e+02,1.1696100e-04,1.3872237e-01
8.2940399e+02,8.5215601e-05,1.1798815e-01
1.0000000e+03,5.9155602e-05,9.7983323e-02
1.1559301e+03,4.4631299e-05,8.4930215e-02
1.3646200e+03,3.2387899e-05,7.2208763e-02
1.6110000e+03,2.3271101e-05,6.1123003e-02
1.9018600e+03,1.6858699e-05,5.1969802e-02
2.2452200e+03,1.2232800e-05,4.4237385e-02
2.6505898e+03,8.8918096e-06,3.7698540e-02
3.0000000e+03,6.9954399e-06,3.3431368e-02
3.6940801e+03,4.7106400e-06,2.7429504e-02
4.3610303e+03,3.4444799e-06,2.3454869e-02
5.1483896e+03,2.5029301e-06,1.9994835e-02
6.0778999e+03,1.8229000e-06,1.7064665e-02
7.1752300e+03,1.3308101e-06,1.4580839e-02
8.4706699e+03,9.6557505e-07,1.2419324e-02
1.0000000e+04,7.0227298e-07,1.0589815e-02
