E,<Daa>,Prec_Ratio
9.9999994e-02,0.0000000e+00,0.0000000e+00
1.1318200e-01,0.0000000e+00,0.0000000e+00
1.3361700e-01,0.0000000e+00,0.0000000e+00
1.5774100e-01,0.0000000e+00,0.0000000e+00
1.8622001e-01,0.0000000e+00,0.0000000e+00
2.1984099e-01,0.0000000e+00,0.0000000e+00
2.5953200e-01,0.0000000e+00,0.0000000e+00
3.0000001e-01,0.0000000e+00,0.0000000e+00
3.6170501e-01,0.0000000e+00,0.0000000e+00
4.2700902e-01,0.0000000e+00,0.0000000e+00
5.0410300e-01,0.0000000e+00,0.0000000e+00
5.9511602e-01,0.0000000e+00,0.0000000e+00
7.0256102e-01,0.0000000e+00,0.0000000e+00
8.2940400e-01,0.0000000e+00,0.0000000e+00
1.0000000e+00,0.0000000e+00,0.0000000e+00
1.1318201e+00,0.0000000e+00,0.0000000e+00
1.3361700e+00,1.0404800e-08,4.7747977e-03
1.5774100e+00,3.0678400e-06,7.7742061e-02
1.8622000e+00,8.0769001e-05,3.5001904e-01
2.1984100e+00,3.9345599e-04,6.2519097e-01
2.5953202e+00,1.2088600e-03,8.0741860e-01
3.0000000e+00,3.4284301e-03,9.1341846e-01
3.6170499e+00,1.2396600e-02,9.7144654e-01
4.2700896e+00,1.9287700e-02,9.7984759e-01
5.0410299e+00,2.5529001e-02,9.8339531e-01
5.9511600e+00,3.1022400e-02,9.8513765e-01
7.0256100e+00,3.5365999e-02,9.8584340e-01
8.2940407e+00,3.8144000e-02,9.8576628e-01
1.0000000e+01,3.8972501e-02,9.8476134e-01
1.1318200e+01,3.8115699e-02,9.8348367e-01
1.3361700e+01,3.5384100e-02,9.8079596e-01
1.5774099e+01,3.1263102e-02,9.7659941e-01
1.8622000e+01,2.6357999e-02,9.7022693e-01
2.1984100e+01,2.1278501e-02,9.6064588e-01
2.5953199e+01,1.6519900e-02,9.4632593e-01
3.0000000e+01,1.2877800e-02,9.2828044e-01
3.5416302e+01,9.4201202e-03,8.9881116e-01
4.1810501e+01,6.7333700e-03,8.5716391e-01
4.9359200e+01,4.7375700e-03,8.0129798e-01
5.8270699e+01,3.3037600e-03,7.3145118e-01
6.8791100e+01,2.2925599e-03,6.5079578e-01
8.1210999e+01,1.5856300e-03,5.6496633e-01
1.0000000e+02,9.6288102e-04,4.5375235e-01
1.1318200e+02,7.1092497e-04,3.9257536e-01
1.3361700e+02,4.8135800e-04,3.2282349e-01
1.5774100e+02,3.3027100e-04,2.6548636e-01
1.8622000e+02,2.2813400e-04,2.1829753e-01
2.1984100e+02,1.5858700e-04,1.7972405e-01
2.5953201e+02,1.1068300e-04,1.4814638e-01
3.0000000e+02,8.1030303e-05,1.2527666e-01
3.6170502e+02,5.4238000e-05,1.0100404e-01
4.2700897e+02,3.7931200e-05,8.3450282e-02
5.0410300e+02,2.6640701e-05,6.9164263e-02
5.9511603e+02,1.8659701e-05,5.7314473e-02
7.0256104e+02,1.3116800e-05,4.7637725e-02
8.2940399e+02,9.2106702e-06,3.9622291e-02
1.0000000e+03,6.1790201e-06,3.2225470e-02
1.1559301e+03,4.5575598e-06,2.7550600e-02
1.3646200e+03,3.2352900e-06,2.3111847e-02
1.6110000e+03,2.2842401e-06,1.9351766e-02
1.9018600e+03,1.6302700e-06,1.6301735e-02
2.2452200e+03,1.1685100e-06,1.3769099e-02
2.6505898e+03,8.4086901e-07,1.1657670e-02
3.0000000e+03,6.5748100e-07,1.0295317e-02
3.6940801e+03,4.3892101e-07,8.3955417e-03
4.3610303e+03,3.1921201e-07,7.1487859e-03
5.1483896e+03,2.3099101e-07,6.0709546e-03
6.0778999e+03,1.6768099e-07,5.1621585e-03
7.1752300e+03,1.2210501e-07,4.3940527e-03
8.4706699e+03,8.8430198e-08,3.7268559e-03
1.0000000e+04,6.4232196e-08,3.1621028e-03
