E,<Daa>,Prec_Ratio
9.9999994e-02,0.0000000e+00,0.0000000e+00
1.1318200e-01,0.0000000e+00,0.0000000e+00
1.3361700e-01,0.0000000e+00,0.0000000e+00
1.5774100e-01,0.0000000e+00,0.0000000e+00
1.8622001e-01,0.0000000e+00,0.0000000e+00
2.1984099e-01,0.0000000e+00,0.0000000e+00
2.5953200e-01,0.0000000e+00,0.0000000e+00
3.0000001e-01,0.0000000e+00,0.0000000e+00
3.6170501e-01,0.0000000e+00,0.0000000e+00
4.2700902e-01,0.0000000e+00,0.0000000e+00
5.0410300e-01,0.0000000e+00,0.0000000e+00
5.9511602e-01,5.3266502e-10,2.8014989e-03
7.0256102e-01,9.0152898e-09,1.1245853e-02
8.2940400e-01,3.8566700e-08,2.2275695e-02
1.0000000e+00,1.7581800e-07,4.5138362e-02
1.1318201e+00,1.3224800e-05,3.4484997e-01
1.3361700e+00,2.3525499e-04,8.3747281e-01
1.5774100e+00,2.0943000e-03,9.7556370e-01
1.8622000e+00,5.3338502e-03,9.8938128e-01
2.1984100e+00,8.7920101e-03,9.9297004e-01
2.5953202e+00,1.2663900e-02,9.9468788e-01
3.0000000e+00,1.6219400e-02,9.9553827e-01
3.6170499e+00,2.0788500e-02,9.9617778e-01
4.2700896e+00,2.4390399e-02,9.9646236e-01
5.0410299e+00,2.7220400e-02,9.9655928e-01
5.9511600e+00,2.9107099e-02,9.9650872e-01
7.0256100e+00,2.9898200e-02,9.9631370e-01
8.2940407e+00,2.9610200e-02,9.9596506e-01
1.0000000e+01,2.8185699e-02,9.9536072e-01
1.1318200e+01,2.6759399e-02,9.9481495e-01
1.3361700e+01,2.4445400e-02,9.9385885e-01
1.5774099e+01,2.1890000e-02,9.9258669e-01
1.8622000e+01,1.9287201e-02,9.9091542e-01
2.1984100e+01,1.6764600e-02,9.8873081e-01
2.5953199e+01,1.4411000e-02,9.8588884e-01
3.0000000e+01,1.2526000e-02,9.8271725e-01
3.5416302e+01,1.0585400e-02,9.7808225e-01
4.1810501e+01,8.8737505e-03,9.7206816e-01
4.9359200e+01,7.3637799e-03,9.6418708e-01
5.8270699e+01,6.0604098e-03,9.5393508e-01
6.8791100e+01,4.9535101e-03,9.4071317e-01
8.1210999e+01,4.0189000e-03,9.2373553e-01
1.0000000e+02,3.0567700e-03,8.9572246e-01
1.1318200e+02,2.5805801e-03,8.7476088e-01
1.3361700e+02,2.0399799e-03,8.4081454e-01
1.5774100e+02,1.5965600e-03,7.9947918e-01
1.8622000e+02,1.2361100e-03,7.5044488e-01
2.1984100e+02,9.4593503e-04,6.9410737e-01
2.5953201e+02,7.1500498e-04,6.3180002e-01
3.0000000e+02,5.5405899e-04,5.7420863e-01
3.6170502e+02,3.9232199e-04,4.9839494e-01
4.2700897e+02,2.8459501e-04,4.3279917e-01
5.0410300e+02,2.0331499e-04,3.7090042e-01
5.9511603e+02,1.4292799e-04,3.1408848e-01
7.0256104e+02,9.9053701e-05,2.6337604e-01
8.2940399e+02,6.7523601e-05,2.1865550e-01
1.0000000e+03,4.3052500e-05,1.7542190e-01
1.1559301e+03,2.9988600e-05,1.4683068e-01
1.3646200e+03,1.9552101e-05,1.1887984e-01
1.6110000e+03,1.2572100e-05,9.5537019e-02
1.9018600e+03,7.9793499e-06,7.6249664e-02
2.2452200e+03,5.0057301e-06,6.0483260e-02
2.6505898e+03,3.1048301e-06,4.7692900e-02
3.0000000e+03,2.1619601e-06,3.9828017e-02
3.6940801e+03,1.1619500e-06,2.9228217e-02
4.3610303e+03,7.0256499e-07,2.2740787e-02
5.1483896e+03,4.2223400e-07,1.7635977e-02
6.0778999e+03,2.5225299e-07,1.3633028e-02
7.1752300e+03,1.5003600e-07,1.0511780e-02
8.4706699e+03,8.8911101e-08,8.0862088e-03
1.0000000e+04,5.2521301e-08,6.2055960e-03
