E,<Daa>,Prec_Ratio
9.9999994e-02,0.0000000e+00,0.0000000e+00
1.1318200e-01,0.0000000e+00,0.0000000e+00
1.3361700e-01,0.0000000e+00,0.0000000e+00
1.5774100e-01,0.0000000e+00,0.0000000e+00
1.8622001e-01,0.0000000e+00,0.0000000e+00
2.1984099e-01,0.0000000e+00,0.0000000e+00
2.5953200e-01,0.0000000e+00,0.0000000e+00
3.0000001e-01,0.0000000e+00,0.0000000e+00
3.6170501e-01,0.0000000e+00,0.0000000e+00
4.2700902e-01,0.0000000e+00,0.0000000e+00
5.0410300e-01,0.0000000e+00,0.0000000e+00
5.9511602e-01,1.3768700e-08,1.4481406e-02
7.0256102e-01,1.4051599e-07,4.4079110e-02
8.2940400e-01,5.3341000e-07,8.1581693e-02
1.0000000e+00,2.5892100e-06,1.6738221e-01
1.1318201e+00,6.3651998e-04,9.3559007e-01
1.3361700e+00,9.5834602e-03,9.9495220e-01
1.5774100e+00,8.1674598e-02,9.9935288e-01
1.8622000e+00,1.6290499e-01,9.9964750e-01
2.1984100e+00,2.2565800e-01,9.9972361e-01
2.5953202e+00,2.8191701e-01,9.9975975e-01
3.0000000e+00,3.2352301e-01,9.9977505e-01
3.6170499e+00,3.6158100e-01,9.9977919e-01
4.2700896e+00,3.7545699e-01,9.9976917e-01
5.0410299e+00,3.6833701e-01,9.9974464e-01
5.9511600e+00,3.4158501e-01,9.9970123e-01
7.0256100e+00,2.9963499e-01,9.9963054e-01
8.2940407e+00,2.4904400e-01,9.9951798e-01
1.0000000e+01,1.9020499e-01,9.9930888e-01
1.1318200e+01,1.5395200e-01,9.9909358e-01
1.3361700e+01,1.1170200e-01,9.9864739e-01
1.5774099e+01,7.8031197e-02,9.9790546e-01
1.8622000e+01,5.2833401e-02,9.9665792e-01
2.1984100e+01,3.4950800e-02,9.9455202e-01
2.5953199e+01,2.2765201e-02,9.9100520e-01
3.0000000e+01,1.5525600e-02,9.8599407e-01
3.5416302e+01,9.9532995e-03,9.7673342e-01
4.1810501e+01,6.3637202e-03,9.6161332e-01
4.9359200e+01,3.5496100e-03,9.2931470e-01
5.8270699e+01,2.0125799e-03,8.7643095e-01
6.8791100e+01,1.2492700e-03,8.0910758e-01
8.1210999e+01,8.1372500e-04,7.2960073e-01
1.0000000e+02,4.9325201e-04,6.2003988e-01
1.1318200e+02,3.7116301e-04,5.5467462e-01
1.3361700e+02,2.5606301e-04,4.7165649e-01
1.5774100e+02,1.7796300e-04,3.9698535e-01
1.8622000e+02,1.2415800e-04,3.3193195e-01
2.1984100e+02,8.6692999e-05,2.7627278e-01
2.5953201e+02,6.0532198e-05,2.2928633e-01
3.0000000e+02,4.4159300e-05,1.9443452e-01
3.6170502e+02,2.9243100e-05,1.5665871e-01
4.2700897e+02,2.0175799e-05,1.2898045e-01
5.0410300e+02,1.3820800e-05,1.0585950e-01
5.9511603e+02,9.3871604e-06,8.6573391e-02
7.0256104e+02,6.3292800e-06,7.0599240e-02
8.2940399e+02,4.2255701e-06,5.7340069e-02
1.0000000e+03,2.6509599e-06,4.5157968e-02
1.1559301e+03,1.8326200e-06,3.7407494e-02
1.3646200e+03,1.1903700e-06,3.0041494e-02
1.6110000e+03,7.6624900e-07,2.4032742e-02
1.9018600e+03,4.8900000e-07,1.9153072e-02
2.2452200e+03,3.0967200e-07,1.5211440e-02
2.6505898e+03,1.9456900e-07,1.2036376e-02
3.0000000e+03,1.3707300e-07,1.0089945e-02
3.6940801e+03,7.5372697e-08,7.4647522e-03
4.3610303e+03,4.6530499e-08,5.8510959e-03
5.1483896e+03,2.8603701e-08,4.5718742e-03
6.0778999e+03,1.7504000e-08,3.5577176e-03
7.1752300e+03,1.0675800e-08,0.0000000e+00
8.4706699e+03,6.4923502e-09,0.0000000e+00
1.0000000e+04,3.9375299e-09,0.0000000e+00
