E,<Daa>,Prec_Ratio
9.9999994e-02,0.0000000e+00,0.0000000e+00
1.1318200e-01,0.0000000e+00,0.0000000e+00
1.3361700e-01,0.0000000e+00,0.0000000e+00
1.5774100e-01,0.0000000e+00,0.0000000e+00
1.8622001e-01,0.0000000e+00,0.0000000e+00
2.1984099e-01,0.0000000e+00,0.0000000e+00
2.5953200e-01,0.0000000e+00,0.0000000e+00
3.0000001e-01,0.0000000e+00,0.0000000e+00
3.6170501e-01,0.0000000e+00,0.0000000e+00
4.2700902e-01,0.0000000e+00,0.0000000e+00
5.0410300e-01,0.0000000e+00,0.0000000e+00
5.9511602e-01,0.0000000e+00,0.0000000e+00
7.0256102e-01,0.0000000e+00,0.0000000e+00
8.2940400e-01,0.0000000e+00,0.0000000e+00
1.0000000e+00,0.0000000e+00,0.0000000e+00
1.1318201e+00,0.0000000e+00,0.0000000e+00
1.3361700e+00,2.0226601e-08,6.6774041e-03
1.5774100e+00,1.2130300e-07,1.5702388e-02
1.8622000e+00,4.5363299e-07,2.9052151e-02
2.1984100e+00,4.0130799e-06,8.1782408e-02
2.5953202e+00,3.4019101e-04,5.8019271e-01
3.0000000e+00,1.8481200e-03,8.5366924e-01
3.6170499e+00,1.1307100e-02,9.6880939e-01
4.2700896e+00,2.0502601e-02,9.8101156e-01
5.0410299e+00,3.0299099e-02,9.8596058e-01
5.9511600e+00,4.0308598e-02,9.8850921e-01
7.0256100e+00,4.9708702e-02,9.8987298e-01
8.2940407e+00,5.7510301e-02,9.9049875e-01
1.0000000e+01,6.3332498e-02,9.9054890e-01
1.1318200e+01,6.5047301e-02,9.9023299e-01
1.3361700e+01,6.4466700e-02,9.8933638e-01
1.5774099e+01,6.0833301e-02,9.8778919e-01
1.8622000e+01,5.4785401e-02,9.8537509e-01
2.1984100e+01,4.7274601e-02,9.8176159e-01
2.5953199e+01,3.9218400e-02,9.7641746e-01
3.0000000e+01,3.2375801e-02,9.6973790e-01
3.5416302e+01,2.5243100e-02,9.5877488e-01
4.1810501e+01,1.9166300e-02,9.4282273e-01
4.9359200e+01,1.4233600e-02,9.1990212e-01
5.8270699e+01,1.0382600e-02,8.8768695e-01
6.8791100e+01,7.4622799e-03,8.4383062e-01
8.1210999e+01,5.2949898e-03,7.8667874e-01
1.0000000e+02,3.3360200e-03,6.9378105e-01
1.1318200e+02,2.5033599e-03,6.2992137e-01
1.3361700e+02,1.6979200e-03,5.4153561e-01
1.5774100e+02,1.1486200e-03,4.5625901e-01
1.8622000e+02,7.7407702e-04,3.7869302e-01
2.1984100e+02,5.1922898e-04,3.1100362e-01
2.5953201e+02,3.4635299e-04,2.5345142e-01
3.0000000e+02,2.4198501e-04,2.1094070e-01
3.6170502e+02,1.5103300e-04,1.6543055e-01
4.2700897e+02,9.8533303e-05,1.3265369e-01
5.0410300e+02,6.3729502e-05,1.0590296e-01
5.9511603e+02,4.0836901e-05,8.4179751e-02
7.0256104e+02,2.5920801e-05,6.6632795e-02
8.2940399e+02,1.6296201e-05,5.2527605e-02
1.0000000e+03,9.5542400e-06,3.9993265e-02
1.1559301e+03,6.2671802e-06,3.2269973e-02
1.3646200e+03,3.8351300e-06,2.5151405e-02
1.6110000e+03,2.3277501e-06,1.9534454e-02
1.9018600e+03,1.4021900e-06,1.5121454e-02
2.2452200e+03,8.3907599e-07,1.1670019e-02
2.6505898e+03,4.9943498e-07,8.9829348e-03
3.0000000e+03,3.3794001e-07,7.3755756e-03
3.6940801e+03,1.7436700e-07,5.2769526e-03
4.3610303e+03,1.0240800e-07,4.0247085e-03
5.1483896e+03,6.0056102e-08,3.0588550e-03
6.0778999e+03,3.5121602e-08,0.0000000e+00
7.1752300e+03,2.0487001e-08,0.0000000e+00
8.4706699e+03,1.1956700e-08,0.0000000e+00
1.0000000e+04,6.9700201e-09,0.0000000e+00
