E,<Daa>,Prec_Ratio
9.9999994e-02,0.0000000e+00,0.0000000e+00
1.1318200e-01,0.0000000e+00,0.0000000e+00
1.3361700e-01,0.0000000e+00,0.0000000e+00
1.5774100e-01,0.0000000e+00,0.0000000e+00
1.8622001e-01,0.0000000e+00,0.0000000e+00
2.1984099e-01,0.0000000e+00,0.0000000e+00
2.5953200e-01,0.0000000e+00,0.0000000e+00
3.0000001e-01,0.0000000e+00,0.0000000e+00
3.6170501e-01,0.0000000e+00,0.0000000e+00
4.2700902e-01,0.0000000e+00,0.0000000e+00
5.0410300e-01,9.1546699e-06,1.7362834e-01
5.9511602e-01,1.2531700e-03,8.9676382e-01
7.0256102e-01,5.6290198e-03,9.7214178e-01
8.2940400e-01,1.5579200e-02,9.8881318e-01
1.0000000e+00,2.8170301e-02,9.9316852e-01
1.1318201e+00,3.0867601e-02,9.9336678e-01
1.3361700e+00,3.2858301e-02,9.9323268e-01
1.5774100e+00,3.2715298e-02,9.9262363e-01
1.8622000e+00,3.2329701e-02,9.9190107e-01
2.1984100e+00,3.1609301e-02,9.9101490e-01
2.5953202e+00,3.0511400e-02,9.8990705e-01
3.0000000e+00,2.9992800e-02,9.8898138e-01
3.6170499e+00,2.7763899e-02,9.8697692e-01
4.2700896e+00,2.7263699e-02,9.8563039e-01
5.0410299e+00,2.6295301e-02,9.8386881e-01
5.9511600e+00,2.5725201e-02,9.8215001e-01
7.0256100e+00,2.5878400e-02,9.8078605e-01
8.2940407e+00,2.4932699e-02,9.7844061e-01
1.0000000e+01,2.3484601e-02,9.7504539e-01
1.1318200e+01,2.1788100e-02,9.7157483e-01
1.3361700e+01,2.0314800e-02,9.6717273e-01
1.5774099e+01,1.8022500e-02,9.6031489e-01
1.8622000e+01,1.6147500e-02,9.5258679e-01
2.1984100e+01,1.3870000e-02,9.4126446e-01
2.5953199e+01,1.1944600e-02,9.2773631e-01
3.0000000e+01,1.0258600e-02,9.1209984e-01
3.5416302e+01,8.4374296e-03,8.8875678e-01
4.1810501e+01,6.8853302e-03,8.5973475e-01
4.9359200e+01,5.5832998e-03,8.2448557e-01
5.8270699e+01,4.4517200e-03,7.8101287e-01
6.8791100e+01,3.5844799e-03,7.3355535e-01
8.1210999e+01,2.8173900e-03,6.7734581e-01
1.0000000e+02,2.0854401e-03,6.0309653e-01
1.1318200e+02,1.7409800e-03,5.5821128e-01
1.3361700e+02,1.3509300e-03,4.9722755e-01
1.5774100e+02,1.0470100e-03,4.3946750e-01
1.8622000e+02,8.0383098e-04,3.8485410e-01
2.1984100e+02,6.1612099e-04,3.3556353e-01
2.5953201e+02,4.6812199e-04,2.9079008e-01
3.0000000e+02,3.6873200e-04,2.5647577e-01
3.6170502e+02,2.6844899e-04,2.1702342e-01
4.2700897e+02,2.0041100e-04,1.8617707e-01
5.0410300e+02,1.4903500e-04,1.5945880e-01
5.9511603e+02,1.1082300e-04,1.3664026e-01
7.0256104e+02,8.2343096e-05,1.1712199e-01
8.2940399e+02,6.0555700e-05,9.9966973e-02
1.0000000e+03,4.2767198e-05,8.3641674e-02
1.1559301e+03,3.2760301e-05,7.2999718e-02
1.3646200e+03,2.4124700e-05,6.2482468e-02
1.6110000e+03,1.7700000e-05,5.3415235e-02
1.9018600e+03,1.3134200e-05,4.5943245e-02
2.2452200e+03,9.6017302e-06,3.9242559e-02
2.6505898e+03,7.0341898e-06,3.3565151e-02
3.0000000e+03,5.5846299e-06,2.9896749e-02
3.6940801e+03,3.8032399e-06,2.4662693e-02
4.3610303e+03,2.8191801e-06,2.1230031e-02
5.1483896e+03,2.0427599e-06,1.8070679e-02
6.0778999e+03,1.5005000e-06,1.5486573e-02
7.1752300e+03,1.0899300e-06,1.3197788e-02
8.4706699e+03,7.9629899e-07,1.1278958e-02
1.0000000e+04,5.7666000e-07,9.5954315e-03
