E,<Daa>,Prec_Ratio
9.9999994e-02,0.0000000e+00,0.0000000e+00
1.1318200e-01,0.0000000e+00,0.0000000e+00
1.3361700e-01,0.0000000e+00,0.0000000e+00
1.5774100e-01,0.0000000e+00,0.0000000e+00
1.8622001e-01,0.0000000e+00,0.0000000e+00
2.1984099e-01,0.0000000e+00,0.0000000e+00
2.5953200e-01,0.0000000e+00,0.0000000e+00
3.0000001e-01,0.0000000e+00,0.0000000e+00
3.6170501e-01,0.0000000e+00,0.0000000e+00
4.2700902e-01,0.0000000e+00,0.0000000e+00
5.0410300e-01,2.7334499e-05,2.8876516e-01
5.9511602e-01,2.4851300e-03,9.4415846e-01
7.0256102e-01,1.9251101e-02,9.9163473e-01
8.2940400e-01,3.0736599e-02,9.9428785e-01
1.0000000e+00,3.5561301e-02,9.9457810e-01
1.1318201e+00,3.7499800e-02,9.9453138e-01
1.3361700e+00,3.7280101e-02,9.9402897e-01
1.5774100e+00,3.6484201e-02,9.9337890e-01
1.8622000e+00,3.6122799e-02,9.9274328e-01
2.1984100e+00,3.6905602e-02,9.9229111e-01
2.5953202e+00,4.0109400e-02,9.9229746e-01
3.0000000e+00,4.1533899e-02,9.9201055e-01
3.6170499e+00,4.0055200e-02,9.9092486e-01
4.2700896e+00,3.9867800e-02,9.9011348e-01
5.0410299e+00,3.9131898e-02,9.8908346e-01
5.9511600e+00,3.9463900e-02,9.8826710e-01
7.0256100e+00,3.8215902e-02,9.8688066e-01
8.2940407e+00,3.6169000e-02,9.8500457e-01
1.0000000e+01,3.2726999e-02,9.8192325e-01
1.1318200e+01,3.0117201e-02,9.7921863e-01
1.3361700e+01,2.6331700e-02,9.7441868e-01
1.5774099e+01,2.2642000e-02,9.6806792e-01
1.8622000e+01,1.8898999e-02,9.5911481e-01
2.1984100e+01,1.5547200e-02,9.4715648e-01
2.5953199e+01,1.2536800e-02,9.3083702e-01
3.0000000e+01,1.0182200e-02,9.1151749e-01
3.5416302e+01,7.9697799e-03,8.8323471e-01
4.1810501e+01,6.1182198e-03,8.4571452e-01
4.9359200e+01,4.6989899e-03,8.0009258e-01
5.8270699e+01,3.5971301e-03,7.4615202e-01
6.8791100e+01,2.7627700e-03,6.8635650e-01
8.1210999e+01,2.1178999e-03,6.2216398e-01
1.0000000e+02,1.5164200e-03,5.4017307e-01
1.1318200e+02,1.2436600e-03,4.9283760e-01
1.3361700e+02,9.4289199e-04,4.3088098e-01
1.5774100e+02,7.1057898e-04,3.7346123e-01
1.8622000e+02,5.3182000e-04,3.2137822e-01
2.1984100e+02,3.9544300e-04,2.7501836e-01
2.5953201e+02,2.9202001e-04,2.3423864e-01
3.0000000e+02,2.2282600e-04,2.0293617e-01
3.6170502e+02,1.5628000e-04,1.6814176e-01
4.2700897e+02,1.1397300e-04,1.4226990e-01
5.0410300e+02,8.1612903e-05,1.1938877e-01
5.9511603e+02,5.8859699e-05,1.0060613e-01
7.0256104e+02,4.1486299e-05,8.3905728e-02
8.2940399e+02,2.8994300e-05,6.9746001e-02
1.0000000e+03,1.9782899e-05,5.7290421e-02
1.1559301e+03,1.4900700e-05,4.9539353e-02
1.3646200e+03,1.0638600e-05,4.1718251e-02
1.6110000e+03,7.7810600e-06,3.5578985e-02
1.9018600e+03,5.6605400e-06,3.0281152e-02
2.2452200e+03,4.0790901e-06,2.5664051e-02
2.6505898e+03,2.9668299e-06,2.1859881e-02
3.0000000e+03,2.3420200e-06,1.9407896e-02
3.6940801e+03,1.5670000e-06,1.5860063e-02
4.3610303e+03,1.1438100e-06,1.3541968e-02
5.1483896e+03,8.3694403e-07,1.1577425e-02
6.0778999e+03,6.0023001e-07,9.7987644e-03
7.1752300e+03,4.3993001e-07,8.3832299e-03
8.4706699e+03,3.1797299e-07,7.1208335e-03
1.0000000e+04,2.3000200e-07,6.0489748e-03
