E,<Daa>,Prec_Ratio
9.9999994e-02,0.0000000e+00,0.0000000e+00
1.1318200e-01,0.0000000e+00,0.0000000e+00
1.3361700e-01,0.0000000e+00,0.0000000e+00
1.5774100e-01,0.0000000e+00,0.0000000e+00
1.8622001e-01,0.0000000e+00,0.0000000e+00
2.1984099e-01,0.0000000e+00,0.0000000e+00
2.5953200e-01,0.0000000e+00,0.0000000e+00
3.0000001e-01,0.0000000e+00,0.0000000e+00
3.6170501e-01,0.0000000e+00,0.0000000e+00
4.2700902e-01,0.0000000e+00,0.0000000e+00
5.0410300e-01,0.0000000e+00,0.0000000e+00
5.9511602e-01,7.0884001e-09,1.0393554e-02
7.0256102e-01,1.2922800e-07,4.2291004e-02
8.2940400e-01,9.4606999e-05,7.3521635e-01
1.0000000e+00,1.7740200e-03,9.7696716e-01
1.1318201e+00,4.9322401e-03,9.9101808e-01
1.3361700e+00,1.5841000e-02,9.9693805e-01
1.5774100e+00,6.9871202e-02,9.9924368e-01
1.8622000e+00,1.4942600e-01,9.9961571e-01
2.1984100e+00,2.2671300e-01,9.9972490e-01
2.5953202e+00,3.0368799e-01,9.9977697e-01
3.0000000e+00,3.6571801e-01,9.9980099e-01
3.6170499e+00,4.3458101e-01,9.9981627e-01
4.2700896e+00,4.7816399e-01,9.9981874e-01
5.0410299e+00,5.0060201e-01,9.9981209e-01
5.9511600e+00,5.0027603e-01,9.9979598e-01
7.0256100e+00,4.7868001e-01,9.9976869e-01
8.2940407e+00,4.4011900e-01,9.9972717e-01
1.0000000e+01,3.8371301e-01,9.9965726e-01
1.1318200e+01,3.4289399e-01,9.9959276e-01
1.3361700e+01,2.8820699e-01,9.9947518e-01
1.5774099e+01,2.3699699e-01,9.9930908e-01
1.8622000e+01,1.9156501e-01,9.9907527e-01
2.1984100e+01,1.5290000e-01,9.9874765e-01
2.5953199e+01,1.2098700e-01,9.9829088e-01
3.0000000e+01,9.8152101e-02,9.9774920e-01
3.5416302e+01,7.6944999e-02,9.9690688e-01
4.1810501e+01,6.0137000e-02,9.9574346e-01
4.9359200e+01,4.6584599e-02,9.9410226e-01
5.8270699e+01,3.5957798e-02,9.9181933e-01
6.8791100e+01,2.7775900e-02,9.8869488e-01
8.1210999e+01,2.1442199e-02,9.8442408e-01
1.0000000e+02,1.5451300e-02,9.7679789e-01
1.1318200e+02,1.2681300e-02,9.7063735e-01
1.3361700e+02,9.6916100e-03,9.5982602e-01
1.5774100e+02,7.3727099e-03,9.4525818e-01
1.8622000e+02,5.5810800e-03,9.2584894e-01
2.1984100e+02,4.1967700e-03,9.0026273e-01
2.5953201e+02,3.1293801e-03,8.6703587e-01
3.0000000e+02,2.4128300e-03,8.3126953e-01
3.6170502e+02,1.7091400e-03,7.7484578e-01
4.2700897e+02,1.2490300e-03,7.1575699e-01
5.0410300e+02,9.0530899e-04,6.4978854e-01
5.9511603e+02,6.5177801e-04,5.8005450e-01
7.0256104e+02,4.6625201e-04,5.0996983e-01
8.2940399e+02,3.3093599e-04,4.4234002e-01
1.0000000e+03,2.2394001e-04,3.7269977e-01
1.1559301e+03,1.6480700e-04,3.2428385e-01
1.3646200e+03,1.1607600e-04,2.7562772e-01
1.6110000e+03,8.1598198e-05,2.3345170e-01
1.9018600e+03,5.7529101e-05,1.9762004e-01
2.2452200e+03,4.0750299e-05,1.6742378e-01
2.6505898e+03,2.8885101e-05,1.4173737e-01
3.0000000e+03,2.2498400e-05,1.2552042e-01
3.6940801e+03,1.4755400e-05,1.0215835e-01
4.3610303e+03,1.0632300e-05,8.6999476e-02
5.1483896e+03,7.6811102e-06,7.4151276e-02
6.0778999e+03,5.5500900e-06,6.3182660e-02
7.1752300e+03,4.0304499e-06,5.3952196e-02
8.4706699e+03,2.9270700e-06,4.6058866e-02
1.0000000e+04,2.1107301e-06,3.9172931e-02
