E,<Daa>,Prec_Ratio
9.9999994e-02,0.0000000e+00,0.0000000e+00
1.1318200e-01,0.0000000e+00,0.0000000e+00
1.3361700e-01,0.0000000e+00,0.0000000e+00
1.5774100e-01,0.0000000e+00,0.0000000e+00
1.8622001e-01,0.0000000e+00,0.0000000e+00
2.1984099e-01,0.0000000e+00,0.0000000e+00
2.5953200e-01,4.2434101e-05,6.9534916e-01
3.0000001e-01,1.3401200e-03,9.8314044e-01
3.6170501e-01,8.1589697e-03,9.9690264e-01
4.2700902e-01,2.3554901e-02,9.9883139e-01
5.0410300e-01,3.7298702e-02,9.9919787e-01
5.9511602e-01,4.2668801e-02,9.9923822e-01
7.0256102e-01,4.2823900e-02,9.9917548e-01
8.2940400e-01,4.4046000e-02,9.9912919e-01
1.0000000e+00,4.3570701e-02,9.9903376e-01
1.1318201e+00,4.2832199e-02,9.9895463e-01
1.3361700e+00,4.2238601e-02,9.9884872e-01
1.5774100e+00,4.1349199e-02,9.9872286e-01
1.8622000e+00,4.0346399e-02,9.9857874e-01
2.1984100e+00,3.9328601e-02,9.9841692e-01
2.5953202e+00,3.8412500e-02,9.9824034e-01
3.0000000e+00,3.9104398e-02,9.9814294e-01
3.6170499e+00,3.9185200e-02,9.9796738e-01
4.2700896e+00,3.7879702e-02,9.9771831e-01
5.0410299e+00,3.5742398e-02,9.9737678e-01
5.9511600e+00,3.3272400e-02,9.9694401e-01
7.0256100e+00,3.0380599e-02,9.9637195e-01
8.2940407e+00,2.7194100e-02,9.9560867e-01
1.0000000e+01,2.4423700e-02,9.9465122e-01
1.1318200e+01,2.1826399e-02,9.9365299e-01
1.3361700e+01,1.8814500e-02,9.9204039e-01
1.5774099e+01,1.6131500e-02,9.8997568e-01
1.8622000e+01,1.3665900e-02,9.8724209e-01
2.1984100e+01,1.1452000e-02,9.8361707e-01
2.5953199e+01,9.7438702e-03,9.7931599e-01
3.0000000e+01,8.0811698e-03,9.7354601e-01
3.5416302e+01,6.6793798e-03,9.6584726e-01
4.1810501e+01,5.5114599e-03,9.5602423e-01
4.9359200e+01,4.5418902e-03,9.4360283e-01
5.8270699e+01,3.7052401e-03,9.2747141e-01
6.8791100e+01,3.0204200e-03,9.0742089e-01
8.1210999e+01,2.4568699e-03,8.8276005e-01
1.0000000e+02,1.8910000e-03,8.4459256e-01
1.1318200e+02,1.6112000e-03,8.1747216e-01
1.3361700e+02,1.2970900e-03,7.7630444e-01
1.5774100e+02,1.0402700e-03,7.2989254e-01
1.8622000e+02,8.3447399e-04,6.7993326e-01
2.1984100e+02,6.6247297e-04,6.2582661e-01
2.5953201e+02,5.2197999e-04,5.6969219e-01
3.0000000e+02,4.2471799e-04,5.2197706e-01
3.6170502e+02,3.1952700e-04,4.5987223e-01
4.2700897e+02,2.4634300e-04,4.0762740e-01
5.0410300e+02,1.9038700e-04,3.6050502e-01
5.9511603e+02,1.4561700e-04,3.1671143e-01
7.0256104e+02,1.1063800e-04,2.7701646e-01
8.2940399e+02,8.3134502e-05,2.4084605e-01
1.0000000e+03,6.0297800e-05,2.0565371e-01
1.1559301e+03,4.6737499e-05,1.8140431e-01
1.3646200e+03,3.4912398e-05,1.5709612e-01
1.6110000e+03,2.6101499e-05,1.3608436e-01
1.9018600e+03,1.9380101e-05,1.1748183e-01
2.2452200e+03,1.4360000e-05,1.0131188e-01
2.6505898e+03,1.0636700e-05,8.7345073e-02
3.0000000e+03,8.5103602e-06,7.8223730e-02
3.6940801e+03,5.8313999e-06,6.4878178e-02
4.3610303e+03,4.2890601e-06,5.5722622e-02
5.1483896e+03,3.1523900e-06,4.7835842e-02
6.0778999e+03,2.3113701e-06,4.1010848e-02
7.1752300e+03,1.6879300e-06,3.5084910e-02
8.4706699e+03,1.2303400e-06,2.9983177e-02
1.0000000e+04,8.9391102e-07,2.5578726e-02
