E,<Daa>,Prec_Ratio
9.9999994e-02,0.0000000e+00,0.0000000e+00
1.1318249e-01,0.0000000e+00,0.0000000e+00
1.3361694e-01,0.0000000e+00,0.0000000e+00
1.5774070e-01,0.0000000e+00,0.0000000e+00
1.8621986e-01,0.0000000e+00,0.0000000e+00
2.1984078e-01,0.0000000e+00,0.0000000e+00
2.5953174e-01,0.0000000e+00,0.0000000e+00
3.0000001e-01,0.0000000e+00,0.0000000e+00
3.6170539e-01,0.0000000e+00,0.0000000e+00
4.2700922e-01,0.0000000e+00,0.0000000e+00
5.0410324e-01,0.0000000e+00,0.0000000e+00
5.9511620e-01,0.0000000e+00,0.0000000e+00
7.0256096e-01,0.0000000e+00,0.0000000e+00
8.2940429e-01,0.0000000e+00,0.0000000e+00
1.0000000e+00,0.0000000e+00,0.0000000e+00
1.1318250e+00,0.0000000e+00,0.0000000e+00
1.3361694e+00,0.0000000e+00,0.0000000e+00
1.5774070e+00,0.0000000e+00,0.0000000e+00
1.8621986e+00,0.0000000e+00,0.0000000e+00
2.1984079e+00,8.2262203e-10,0.0000000e+00
2.5953176e+00,2.7349401e-09,0.0000000e+00
3.0000000e+00,8.4867802e-09,3.5072696e-03
3.6170540e+00,4.2674198e-08,7.5785920e-03
4.2700920e+00,2.0515500e-07,1.5950785e-02
5.0410328e+00,7.5576303e-05,2.7248931e-01
5.9511619e+00,4.1450802e-03,9.0137473e-01
7.0256095e+00,7.4119801e-03,9.3692704e-01
8.2940426e+00,1.0514200e-02,9.5080863e-01
1.0000000e+01,1.3689900e-02,9.5818374e-01
1.1318249e+01,1.5422600e-02,9.6045929e-01
1.3361693e+01,1.7001400e-02,9.6110579e-01
1.5774070e+01,1.7571000e-02,9.5935033e-01
1.8621986e+01,1.7027000e-02,9.5488913e-01
2.1984077e+01,1.5557100e-02,9.4718776e-01
2.5953175e+01,1.3394400e-02,9.3488313e-01
3.0000000e+01,1.1235400e-02,9.1892202e-01
3.5416325e+01,8.7652300e-03,8.9232584e-01
4.1810539e+01,6.5323701e-03,8.5361478e-01
4.9359188e+01,4.6779402e-03,7.9942870e-01
5.8270699e+01,3.2395199e-03,7.2799947e-01
6.8791138e+01,2.1838001e-03,6.4136070e-01
8.1210976e+01,1.4423500e-03,5.4629676e-01
1.0000000e+02,8.4038102e-04,4.2928943e-01
1.1318250e+02,6.0475600e-04,3.6628273e-01
1.3361693e+02,3.7568901e-04,2.8885959e-01
1.5774069e+02,2.2344499e-04,2.2162713e-01
1.8621985e+02,1.3859000e-04,1.7260704e-01
2.1984077e+02,8.7905202e-05,1.3558374e-01
2.5953177e+02,5.6544701e-05,1.0714422e-01
3.0000000e+02,3.8686401e-05,8.7483429e-02
3.6170541e+02,2.3771800e-05,6.7482369e-02
4.2700922e+02,1.5507099e-05,5.3782671e-02
5.0410324e+02,1.0106800e-05,4.2895824e-02
5.9511621e+02,6.5420900e-06,3.4140349e-02
7.0256097e+02,4.2086499e-06,2.7124157e-02
8.2940424e+02,2.7139399e-06,2.1602477e-02
1.0000000e+03,1.6356000e-06,1.6638762e-02
1.1559279e+03,1.1001700e-06,1.3575220e-02
1.3646240e+03,6.9084098e-07,1.0701441e-02
1.6109990e+03,4.3471999e-07,8.4496415e-03
1.9018555e+03,2.6959901e-07,6.6246174e-03
2.2452244e+03,1.6609000e-07,5.1750619e-03
2.6505867e+03,1.0282200e-07,4.0488510e-03
3.0000000e+03,7.1346001e-08,3.3541698e-03
3.6940818e+03,3.8073299e-08,0.0000000e+00
4.3610269e+03,2.3199600e-08,0.0000000e+00
5.1483853e+03,1.4039500e-08,0.0000000e+00
6.0778960e+03,8.3699403e-09,0.0000000e+00
7.1752246e+03,5.0364601e-09,0.0000000e+00
8.4706699e+03,3.0315701e-09,0.0000000e+00
1.0000000e+04,1.7914500e-09,0.0000000e+00
