E,<Daa>,Prec_Ratio
9.9999994e-02,0.0000000e+00,0.0000000e+00
1.1318249e-01,0.0000000e+00,0.0000000e+00
1.3361694e-01,0.0000000e+00,0.0000000e+00
1.5774070e-01,0.0000000e+00,0.0000000e+00
1.8621986e-01,0.0000000e+00,0.0000000e+00
2.1984078e-01,0.0000000e+00,0.0000000e+00
2.5953174e-01,0.0000000e+00,0.0000000e+00
3.0000001e-01,0.0000000e+00,0.0000000e+00
3.6170539e-01,0.0000000e+00,0.0000000e+00
4.2700922e-01,0.0000000e+00,0.0000000e+00
5.0410324e-01,0.0000000e+00,0.0000000e+00
5.9511620e-01,0.0000000e+00,0.0000000e+00
7.0256096e-01,0.0000000e+00,0.0000000e+00
8.2940429e-01,0.0000000e+00,0.0000000e+00
1.0000000e+00,0.0000000e+00,0.0000000e+00
1.1318250e+00,0.0000000e+00,0.0000000e+00
1.3361694e+00,0.0000000e+00,0.0000000e+00
1.5774070e+00,0.0000000e+00,0.0000000e+00
1.8621986e+00,0.0000000e+00,0.0000000e+00
2.1984079e+00,0.0000000e+00,0.0000000e+00
2.5953176e+00,0.0000000e+00,0.0000000e+00
3.0000000e+00,0.0000000e+00,0.0000000e+00
3.6170540e+00,0.0000000e+00,0.0000000e+00
4.2700920e+00,0.0000000e+00,0.0000000e+00
5.0410328e+00,0.0000000e+00,0.0000000e+00
5.9511619e+00,0.0000000e+00,0.0000000e+00
7.0256095e+00,1.2605300e-03,7.3567664e-01
8.2940426e+00,5.0287698e-03,9.0397523e-01
1.0000000e+01,8.6048897e-03,9.3558509e-01
1.1318249e+01,1.0937700e-02,9.4542102e-01
1.3361693e+01,1.3741200e-02,9.5246058e-01
1.5774070e+01,1.5990401e-02,9.5556940e-01
1.8621986e+01,1.7302301e-02,9.5556454e-01
2.1984077e+01,1.7541900e-02,9.5278876e-01
2.5953175e+01,1.6669501e-02,9.4677361e-01
3.0000000e+01,1.5177800e-02,9.3825925e-01
3.5416325e+01,1.2888400e-02,9.2327823e-01
4.1810539e+01,1.0352900e-02,9.0055598e-01
4.9359188e+01,7.9013202e-03,8.6698173e-01
5.8270699e+01,5.7597598e-03,8.1898790e-01
6.8791138e+01,4.0346002e-03,7.5379538e-01
8.1210976e+01,2.7335000e-03,6.7161267e-01
1.0000000e+02,1.6184500e-03,5.5297283e-01
1.1318250e+02,1.1659000e-03,4.8062415e-01
1.3361693e+02,7.4325001e-04,3.9004316e-01
1.5774069e+02,4.6960500e-04,3.1133395e-01
1.8621985e+02,2.7345301e-04,2.3749208e-01
2.1984077e+02,1.6302500e-04,1.8208879e-01
2.5953177e+02,1.0017400e-04,1.4122489e-01
3.0000000e+02,6.6273198e-05,1.1367121e-01
3.6170541e+02,3.9505601e-05,8.6546460e-02
4.2700922e+02,2.5152300e-05,6.8234355e-02
5.0410324e+02,1.5983400e-05,5.3791477e-02
5.9511621e+02,1.0180400e-05,4.2498181e-02
7.0256097e+02,6.4618798e-06,3.3556612e-02
8.2940424e+02,4.0997302e-06,2.6520770e-02
1.0000000e+03,2.4335000e-06,2.0280597e-02
1.1559279e+03,1.6203001e-06,1.6467267e-02
1.3646240e+03,1.0060600e-06,1.2912768e-02
1.6109990e+03,6.2617301e-07,1.0143855e-02
1.9018555e+03,3.8821901e-07,7.9559796e-03
2.2452244e+03,2.3716100e-07,6.1937290e-03
2.6505867e+03,1.4571400e-07,4.8330711e-03
3.0000000e+03,1.0043000e-07,3.9954259e-03
3.6940818e+03,5.3784799e-08,2.8941249e-03
4.3610269e+03,3.2338001e-08,0.0000000e+00
5.1483853e+03,1.9413701e-08,0.0000000e+00
6.0778960e+03,1.1613300e-08,0.0000000e+00
7.1752246e+03,6.9450099e-09,0.0000000e+00
8.4706699e+03,4.1497601e-09,0.0000000e+00
1.0000000e+04,2.4805100e-09,0.0000000e+00
