E,<Daa>,Prec_Ratio
9.9999994e-02,0.0000000e+00,0.0000000e+00
1.1318249e-01,0.0000000e+00,0.0000000e+00
1.3361694e-01,0.0000000e+00,0.0000000e+00
1.5774070e-01,0.0000000e+00,0.0000000e+00
1.8621986e-01,0.0000000e+00,0.0000000e+00
2.1984078e-01,0.0000000e+00,0.0000000e+00
2.5953174e-01,0.0000000e+00,0.0000000e+00
3.0000001e-01,0.0000000e+00,0.0000000e+00
3.6170539e-01,0.0000000e+00,0.0000000e+00
4.2700922e-01,0.0000000e+00,0.0000000e+00
5.0410324e-01,0.0000000e+00,0.0000000e+00
5.9511620e-01,0.0000000e+00,0.0000000e+00
7.0256096e-01,0.0000000e+00,0.0000000e+00
8.2940429e-01,0.0000000e+00,0.0000000e+00
1.0000000e+00,0.0000000e+00,0.0000000e+00
1.1318250e+00,0.0000000e+00,0.0000000e+00
1.3361694e+00,0.0000000e+00,0.0000000e+00
1.5774070e+00,0.0000000e+00,0.0000000e+00
1.8621986e+00,0.0000000e+00,0.0000000e+00
2.1984079e+00,0.0000000e+00,0.0000000e+00
2.5953176e+00,2.6189500e-11,0.0000000e+00
3.0000000e+00,8.4859603e-10,0.0000000e+00
3.6170540e+00,3.3184899e-09,0.0000000e+00
4.2700920e+00,1.2529700e-08,3.9146944e-03
5.0410328e+00,5.4307701e-08,7.8778004e-03
5.9511619e+00,2.6698200e-07,1.6765142e-02
7.0256095e+00,1.2620200e-03,7.3588200e-01
8.2940426e+00,5.0290599e-03,9.0398006e-01
1.0000000e+01,8.6049400e-03,9.3558544e-01
1.1318249e+01,1.0937700e-02,9.4542102e-01
1.3361693e+01,1.3741200e-02,9.5246058e-01
1.5774070e+01,1.5990401e-02,9.5556940e-01
1.8621986e+01,1.7302301e-02,9.5556454e-01
2.1984077e+01,1.7541900e-02,9.5278876e-01
2.5953175e+01,1.6669501e-02,9.4677361e-01
3.0000000e+01,1.5177800e-02,9.3825925e-01
3.5416325e+01,1.2888400e-02,9.2327823e-01
4.1810539e+01,1.0352900e-02,9.0055598e-01
4.9359188e+01,7.9013202e-03,8.6698173e-01
5.8270699e+01,5.7597701e-03,8.1898815e-01
6.8791138e+01,4.0346398e-03,7.5379702e-01
8.1210976e+01,2.7335701e-03,6.7161755e-01
1.0000000e+02,1.6185699e-03,5.5298742e-01
1.1318250e+02,1.1660400e-03,4.8064672e-01
1.3361693e+02,7.4339798e-04,3.9007618e-01
1.5774069e+02,4.6974001e-04,3.1137397e-01
1.8621985e+02,2.7356201e-04,2.3753593e-01
2.1984077e+02,1.6310500e-04,1.8213109e-01
2.5953177e+02,1.0022900e-04,1.4126211e-01
3.0000000e+02,6.6310000e-05,1.1370178e-01
3.6170541e+02,3.9526800e-05,8.6569140e-02
4.2700922e+02,2.5165000e-05,6.8251271e-02
5.0410324e+02,1.5991000e-05,5.3804086e-02
5.9511621e+02,1.0184700e-05,4.2507059e-02
7.0256097e+02,6.4643100e-06,3.3562869e-02
8.2940424e+02,4.1011899e-06,2.6525461e-02
1.0000000e+03,2.4343501e-06,2.0284124e-02
1.1559279e+03,1.6208600e-06,1.6470104e-02
1.3646240e+03,1.0064100e-06,1.2915011e-02
1.6109990e+03,6.2640203e-07,1.0145711e-02
1.9018555e+03,3.8836700e-07,7.9575008e-03
2.2452244e+03,2.3725801e-07,6.1950045e-03
2.6505867e+03,1.4577699e-07,4.8341291e-03
3.0000000e+03,1.0047600e-07,3.9963585e-03
3.6940818e+03,5.3812300e-08,2.8948923e-03
4.3610269e+03,3.2356500e-08,0.0000000e+00
5.1483853e+03,1.9426000e-08,0.0000000e+00
6.0778960e+03,1.1621500e-08,0.0000000e+00
7.1752246e+03,6.9505002e-09,0.0000000e+00
8.4706699e+03,4.1534598e-09,0.0000000e+00
1.0000000e+04,2.4830300e-09,0.0000000e+00
