E,<Daa>,Prec_Ratio
9.9999994e-02,0.0000000e+00,0.0000000e+00
1.1318249e-01,0.0000000e+00,0.0000000e+00
1.3361694e-01,0.0000000e+00,0.0000000e+00
1.5774070e-01,0.0000000e+00,0.0000000e+00
1.8621986e-01,0.0000000e+00,0.0000000e+00
2.1984078e-01,0.0000000e+00,0.0000000e+00
2.5953174e-01,0.0000000e+00,0.0000000e+00
3.0000001e-01,0.0000000e+00,0.0000000e+00
3.6170539e-01,1.5537800e-14,0.0000000e+00
4.2700922e-01,3.7955199e-13,0.0000000e+00
5.0410324e-01,2.4931799e-12,0.0000000e+00
5.9511620e-01,1.1494900e-11,0.0000000e+00
7.0256096e-01,4.4558301e-11,0.0000000e+00
8.2940429e-01,1.5081900e-10,0.0000000e+00
1.0000000e+00,5.0709797e-10,0.0000000e+00
1.1318250e+00,1.0435500e-09,0.0000000e+00
1.3361694e+00,2.5942899e-09,0.0000000e+00
1.5774070e+00,6.4281500e-09,3.5826659e-03
1.8621986e+00,1.6689800e-08,5.5773604e-03
2.1984079e+00,4.8231598e-08,9.1201685e-03
2.5953176e+00,1.7141400e-07,1.6491306e-02
3.0000000e+00,4.8393900e-07,2.6672157e-02
3.6170540e+00,1.7010700e-06,4.7493186e-02
4.2700920e+00,5.7459101e-06,8.2990700e-02
5.0410328e+00,2.1473001e-05,1.5105116e-01
5.9511619e+00,8.8718603e-05,2.8241724e-01
7.0256095e+00,5.2313400e-03,9.1364258e-01
8.2940426e+00,1.7142700e-02,9.6904700e-01
1.0000000e+01,3.1682700e-02,9.8134222e-01
1.1318249e+01,4.1110199e-02,9.8466212e-01
1.3361693e+01,5.2801199e-02,9.8702117e-01
1.5774070e+01,6.2676899e-02,9.8814272e-01
1.8621986e+01,6.9302998e-02,9.8839136e-01
2.1984077e+01,7.1909100e-02,9.8790908e-01
2.5953175e+01,7.0125900e-02,9.8662625e-01
3.0000000e+01,6.5277196e-02,9.8467982e-01
3.5416325e+01,5.6945499e-02,9.8115019e-01
4.1810539e+01,4.6950001e-02,9.7555998e-01
4.9359188e+01,3.6685999e-02,9.6676173e-01
5.8270699e+01,2.7257400e-02,9.5288262e-01
6.8791138e+01,1.9330001e-02,9.3098295e-01
8.1210976e+01,1.3138400e-02,8.9678101e-01
1.0000000e+02,7.6857400e-03,8.2850581e-01
1.1318250e+02,5.4625999e-03,7.7149695e-01
1.3361693e+02,3.3869599e-03,6.7673048e-01
1.5774069e+02,2.0600399e-03,5.6848283e-01
1.8621985e+02,1.1664800e-03,4.4936681e-01
2.1984077e+02,6.3217001e-04,3.3938673e-01
2.5953177e+02,3.4309999e-04,2.5235331e-01
3.0000000e+02,2.0204400e-04,1.9379909e-01
3.6170541e+02,1.0228000e-04,1.3727713e-01
4.2700922e+02,5.5941400e-05,1.0085871e-01
5.0410324e+02,3.0593299e-05,7.4021080e-02
5.9511621e+02,1.6710201e-05,5.4281183e-02
7.0256097e+02,9.1019401e-06,3.9763489e-02
8.2940424e+02,4.9562100e-06,2.9141262e-02
1.0000000e+03,2.5066699e-06,2.0581895e-02
1.1559279e+03,1.4854500e-06,1.5769057e-02
1.3646240e+03,8.2228598e-07,1.1675038e-02
1.6109990e+03,4.6026301e-07,8.6949191e-03
1.9018555e+03,2.6112201e-07,6.5190141e-03
2.2452244e+03,1.5039799e-07,4.9216966e-03
2.6505867e+03,8.8067601e-08,3.7411814e-03
3.0000000e+03,5.9752701e-08,3.0613017e-03
3.6940818e+03,3.1862101e-08,0.0000000e+00
4.3610269e+03,1.9731299e-08,0.0000000e+00
5.1483853e+03,1.2477400e-08,0.0000000e+00
6.0778960e+03,8.0619298e-09,0.0000000e+00
7.1752246e+03,5.3189502e-09,0.0000000e+00
8.4706699e+03,3.5775101e-09,0.0000000e+00
1.0000000e+04,2.4465101e-09,0.0000000e+00
