E,<Daa>,Prec_Ratio
9.9999994e-02,0.0000000e+00,0.0000000e+00
1.1318249e-01,0.0000000e+00,0.0000000e+00
1.3361694e-01,0.0000000e+00,0.0000000e+00
1.5774070e-01,0.0000000e+00,0.0000000e+00
1.8621986e-01,0.0000000e+00,0.0000000e+00
2.1984078e-01,0.0000000e+00,0.0000000e+00
2.5953174e-01,0.0000000e+00,0.0000000e+00
3.0000001e-01,0.0000000e+00,0.0000000e+00
3.6170539e-01,4.8757802e-14,0.0000000e+00
4.2700922e-01,1.2021100e-12,0.0000000e+00
5.0410324e-01,7.9303101e-12,0.0000000e+00
5.9511620e-01,3.6585301e-11,0.0000000e+00
7.0256096e-01,1.4162400e-10,0.0000000e+00
8.2940429e-01,4.7819598e-10,0.0000000e+00
1.0000000e+00,1.5998100e-09,0.0000000e+00
1.1318250e+00,3.2692600e-09,0.0000000e+00
1.3361694e+00,7.9684499e-09,4.1700192e-03
1.5774070e+00,1.8952100e-08,6.1990829e-03
1.8621986e+00,4.5457799e-08,9.2270482e-03
2.1984079e+00,1.1256900e-07,1.3931978e-02
2.5953176e+00,2.9240201e-07,2.1516700e-02
3.0000000e+00,6.6725102e-07,3.1283806e-02
3.6170540e+00,1.9772699e-06,5.1155133e-02
4.2700920e+00,5.5205501e-06,8.1382550e-02
5.0410328e+00,1.6401400e-05,1.3272366e-01
5.9511619e+00,5.1523300e-05,2.1987312e-01
7.0256095e+00,1.5122000e-03,7.6633021e-01
8.2940426e+00,4.3759798e-03,8.9169967e-01
1.0000000e+01,8.3376998e-03,9.3370227e-01
1.1318249e+01,1.1096200e-02,9.4614492e-01
1.3361693e+01,1.4742400e-02,9.5549832e-01
1.5774070e+01,1.8136900e-02,9.6055218e-01
1.8621986e+01,2.0807900e-02,9.6267958e-01
2.1984077e+01,2.2496499e-02,9.6267088e-01
2.5953175e+01,2.2979699e-02,9.6062528e-01
3.0000000e+01,2.2382300e-02,9.5699839e-01
3.5416325e+01,2.0723701e-02,9.5037705e-01
4.1810539e+01,1.8288899e-02,9.4029692e-01
4.9359188e+01,1.5436000e-02,9.2552616e-01
5.8270699e+01,1.2503000e-02,9.0432788e-01
6.8791138e+01,9.7521301e-03,8.7444434e-01
8.1210976e+01,7.3486199e-03,8.3329818e-01
1.0000000e+02,4.9338201e-03,7.6250053e-01
1.1318250e+02,3.8151101e-03,7.0990057e-01
1.3361693e+02,2.6489401e-03,6.2930017e-01
1.5774069e+02,1.8019500e-03,5.4210229e-01
1.8621985e+02,1.1858700e-03,4.5236721e-01
2.1984077e+02,7.6109200e-04,3.6800158e-01
2.5953177e+02,4.8018401e-04,2.9415034e-01
3.0000000e+02,3.1685299e-04,2.3915289e-01
3.6170541e+02,1.8181599e-04,1.8066699e-01
4.2700922e+02,1.0914600e-04,1.3934374e-01
5.0410324e+02,6.4519103e-05,1.0653805e-01
5.9511621e+02,3.7611098e-05,8.0859661e-02
7.0256097e+02,2.1670399e-05,6.1016331e-02
8.2940424e+02,1.2379700e-05,4.5861982e-02
1.0000000e+03,6.5529798e-06,3.3178433e-02
1.1559279e+03,4.0032901e-06,2.5831647e-02
1.3646240e+03,2.2857100e-06,1.9441945e-02
1.6109990e+03,1.3151800e-06,1.4696532e-02
1.9018555e+03,7.6466500e-07,1.1171145e-02
2.2452244e+03,4.4989801e-07,8.5430635e-03
2.6505867e+03,2.6816701e-07,6.5747127e-03
3.0000000e+03,1.8393899e-07,5.4302743e-03
3.6940818e+03,9.9462497e-08,3.9691449e-03
4.3610269e+03,6.2078897e-08,3.1139436e-03
5.1483853e+03,3.9476099e-08,0.0000000e+00
6.0778960e+03,2.5605599e-08,0.0000000e+00
7.1752246e+03,1.6938200e-08,0.0000000e+00
8.4706699e+03,1.1412600e-08,0.0000000e+00
1.0000000e+04,7.8137603e-09,0.0000000e+00
