E,<Daa>,Prec_Ratio
9.9999994e-02,0.0000000e+00,0.0000000e+00
1.1318249e-01,0.0000000e+00,0.0000000e+00
1.3361694e-01,0.0000000e+00,0.0000000e+00
1.5774070e-01,0.0000000e+00,0.0000000e+00
1.8621986e-01,0.0000000e+00,0.0000000e+00
2.1984078e-01,1.7660700e-16,0.0000000e+00
2.5953174e-01,9.8351401e-14,0.0000000e+00
3.0000001e-01,1.1654900e-12,0.0000000e+00
3.6170539e-01,1.0749900e-11,0.0000000e+00
4.2700922e-01,5.1190600e-11,0.0000000e+00
5.0410324e-01,1.7701300e-10,0.0000000e+00
5.9511620e-01,4.7868398e-10,0.0000000e+00
7.0256096e-01,1.1411500e-09,3.9724050e-03
8.2940429e-01,2.5701501e-09,5.7477890e-03
1.0000000e+00,6.2388601e-09,8.5644674e-03
1.1318250e+00,1.1201400e-08,1.1130119e-02
1.3361694e+00,2.4845800e-08,1.5896669e-02
1.5774070e+00,5.6787002e-08,2.3026115e-02
1.8621986e+00,1.3641400e-07,3.4152882e-02
2.1984079e+00,3.5292001e-07,5.2466169e-02
2.5953176e+00,1.0175600e-06,8.4756531e-02
3.0000000e+00,2.5171801e-06,1.2708580e-01
3.6170540e+00,8.0995496e-06,2.1209950e-01
4.2700920e+00,2.4841400e-05,3.4049954e-01
5.0410328e+00,8.2916697e-05,5.3829949e-01
5.9511619e+00,3.0162701e-04,7.6583069e-01
7.0256095e+00,4.8091799e-02,9.9770399e-01
8.2940426e+00,1.6002600e-01,9.9925011e-01
1.0000000e+01,2.7853501e-01,9.9952791e-01
1.1318249e+01,3.5549599e-01,9.9960719e-01
1.3361693e+01,4.5258099e-01,9.9966571e-01
1.5774070e+01,5.3309703e-01,9.9969268e-01
1.8621986e+01,5.8645803e-01,9.9969769e-01
2.1984077e+01,6.0821700e-01,9.9968478e-01
2.5953175e+01,5.9465098e-01,9.9965163e-01
3.0000000e+01,5.5671000e-01,9.9960218e-01
3.5416325e+01,4.9043000e-01,9.9951302e-01
4.1810539e+01,4.1054299e-01,9.9937346e-01
4.9359188e+01,3.2763499e-01,9.9915574e-01
5.8270699e+01,2.5019500e-01,9.9881320e-01
6.8791138e+01,1.8354900e-01,9.9826707e-01
8.1210976e+01,1.2986299e-01,9.9738285e-01
1.0000000e+02,8.0474101e-02,9.9543104e-01
1.1318250e+02,5.9337001e-02,9.9352571e-01
1.3361693e+02,3.8684800e-02,9.8951532e-01
1.5774069e+02,2.4729200e-02,9.8280110e-01
1.8621985e+02,1.4919200e-02,9.7044022e-01
2.1984077e+02,8.7930104e-03,9.4886684e-01
2.5953177e+02,5.1323399e-03,9.1296708e-01
3.0000000e+02,3.1751699e-03,8.6457387e-01
3.6170541e+02,1.6802000e-03,7.7211792e-01
4.2700922e+02,9.3910203e-04,6.6261817e-01
5.0410324e+02,5.1627302e-04,5.3923142e-01
5.9511621e+02,2.7913100e-04,4.1953067e-01
7.0256097e+02,1.4851701e-04,3.1632640e-01
8.2940424e+02,7.7878300e-05,2.3366774e-01
1.0000000e+03,3.7088899e-05,1.6341374e-01
1.1559279e+03,2.0720199e-05,1.2289994e-01
1.3646240e+03,1.0591400e-05,8.8247786e-02
1.6109990e+03,5.4139400e-06,6.3245332e-02
1.9018555e+03,2.7805499e-06,4.5380423e-02
2.2452244e+03,1.4411600e-06,3.2687105e-02
2.6505867e+03,7.5641799e-07,2.3682223e-02
3.0000000e+03,4.7218100e-07,1.8707699e-02
3.6940818e+03,2.1833900e-07,1.2712854e-02
4.3610269e+03,1.2040900e-07,9.4316761e-03
5.1483853e+03,6.7691403e-08,7.0606039e-03
6.0778960e+03,3.8854498e-08,5.3355669e-03
7.1752246e+03,2.2810999e-08,4.0712897e-03
8.4706699e+03,1.3721100e-08,3.1369184e-03
1.0000000e+04,8.4648999e-09,0.0000000e+00
