E,<Daa>,Prec_Ratio
9.9999994e-02,1.6006500e-13,0.0000000e+00
1.1318249e-01,3.5975899e-13,0.0000000e+00
1.3361694e-01,8.7481200e-13,0.0000000e+00
1.5774070e-01,1.8097000e-12,0.0000000e+00
1.8621986e-01,3.4693700e-12,0.0000000e+00
2.1984078e-01,6.3604499e-12,0.0000000e+00
2.5953174e-01,1.1293400e-11,0.0000000e+00
3.0000001e-01,1.8359300e-11,0.0000000e+00
3.6170539e-01,3.3741801e-11,0.0000000e+00
4.2700922e-01,5.7496900e-11,0.0000000e+00
5.0410324e-01,9.7209497e-11,0.0000000e+00
5.9511620e-01,1.6369700e-10,0.0000000e+00
7.0256096e-01,2.7525901e-10,0.0000000e+00
8.2940429e-01,4.6536999e-10,0.0000000e+00
1.0000000e+00,8.4140400e-10,3.1044501e-03
1.1318250e+00,1.2535100e-09,3.6910091e-03
1.3361694e+00,2.1500699e-09,4.6573651e-03
1.5774070e+00,3.7272998e-09,5.8986936e-03
1.8621986e+00,6.5364900e-09,7.5060085e-03
2.1984079e+00,1.1666700e-08,9.6286246e-03
2.5953176e+00,2.1222300e-08,1.2462139e-02
3.0000000e+00,3.6186499e-08,1.5692133e-02
3.6170540e+00,7.4357501e-08,2.1451441e-02
4.2700920e+00,1.4605000e-07,2.8805898e-02
5.0410328e+00,2.9682400e-07,3.9315323e-02
5.9511619e+00,6.0518602e-07,5.3691595e-02
7.0256095e+00,1.5761900e-03,9.3573439e-01
8.2940426e+00,6.5193302e-03,9.8201604e-01
1.0000000e+01,1.2709400e-02,9.8978831e-01
1.1318249e+01,1.7009100e-02,9.9187484e-01
1.3361693e+01,2.3441300e-02,9.9359804e-01
1.5774070e+01,2.9490801e-02,9.9448332e-01
1.8621986e+01,3.4682602e-02,9.9492072e-01
2.1984077e+01,3.8503300e-02,9.9505136e-01
2.5953175e+01,4.0248901e-02,9.9488582e-01
3.0000000e+01,4.0112901e-02,9.9451632e-01
3.5416325e+01,3.8040999e-02,9.9376985e-01
4.1810539e+01,3.4407500e-02,9.9259190e-01
4.9359188e+01,2.9747700e-02,9.9080509e-01
5.8270699e+01,2.4657501e-02,9.8812949e-01
6.8791138e+01,1.9648500e-02,9.8411754e-01
8.1210976e+01,1.5087700e-02,9.7805560e-01
1.0000000e+02,1.0317000e-02,9.6577685e-01
1.1318250e+02,8.0189602e-03,9.5459558e-01
1.3361693e+02,5.5727898e-03,9.3278220e-01
1.5774069e+02,3.7505799e-03,8.9943039e-01
1.8621985e+02,2.4039899e-03,8.4755601e-01
2.1984077e+02,1.4905100e-03,7.7305477e-01
2.5953177e+02,8.9964498e-04,6.7610625e-01
3.0000000e+02,5.6387699e-04,5.7768455e-01
3.6170541e+02,2.9896601e-04,4.4772436e-01
4.2700922e+02,1.6570000e-04,3.4375758e-01
5.0410324e+02,8.9234898e-05,2.5671413e-01
5.9511621e+02,4.6734502e-05,1.8756642e-01
7.0256097e+02,2.3850000e-05,1.3461965e-01
8.2940424e+02,1.1905800e-05,9.5267420e-02
1.0000000e+03,5.3094500e-06,6.3599900e-02
1.1559279e+03,2.7859401e-06,4.6020333e-02
1.3646240e+03,1.3158000e-06,3.1572684e-02
1.6109990e+03,6.1188803e-07,2.1488474e-02
1.9018555e+03,2.8080100e-07,1.4526091e-02
2.2452244e+03,1.2894699e-07,9.8193258e-03
2.6505867e+03,5.9044101e-08,6.6221773e-03
3.0000000e+03,3.2968199e-08,4.9294306e-03
3.6940818e+03,1.2503100e-08,2.9988338e-03
4.3610269e+03,5.8620899e-09,0.0000000e+00
5.1483853e+03,2.7631499e-09,0.0000000e+00
6.0778960e+03,1.3290800e-09,0.0000000e+00
7.1752246e+03,6.5690098e-10,0.0000000e+00
8.4706699e+03,3.2679501e-10,0.0000000e+00
1.0000000e+04,1.5360201e-10,0.0000000e+00
