E,<Daa>,Prec_Ratio
9.9999994e-02,0.0000000e+00,0.0000000e+00
1.1318249e-01,0.0000000e+00,0.0000000e+00
1.3361694e-01,0.0000000e+00,0.0000000e+00
1.5774070e-01,0.0000000e+00,0.0000000e+00
1.8621986e-01,0.0000000e+00,0.0000000e+00
2.1984078e-01,0.0000000e+00,0.0000000e+00
2.5953174e-01,0.0000000e+00,0.0000000e+00
3.0000001e-01,0.0000000e+00,0.0000000e+00
3.6170539e-01,0.0000000e+00,0.0000000e+00
4.2700922e-01,0.0000000e+00,0.0000000e+00
5.0410324e-01,0.0000000e+00,0.0000000e+00
5.9511620e-01,0.0000000e+00,0.0000000e+00
7.0256096e-01,0.0000000e+00,0.0000000e+00
8.2940429e-01,0.0000000e+00,0.0000000e+00
1.0000000e+00,0.0000000e+00,0.0000000e+00
1.1318250e+00,0.0000000e+00,0.0000000e+00
1.3361694e+00,0.0000000e+00,0.0000000e+00
1.5774070e+00,2.1824300e-09,4.5001612e-03
1.8621986e+00,1.0142700e-08,9.3554441e-03
2.1984079e+00,3.6138299e-08,1.6935440e-02
2.5953176e+00,1.4570300e-07,3.2516237e-02
3.0000000e+00,5.5987999e-07,6.1039152e-02
3.6170540e+00,3.8575999e-06,1.4923853e-01
4.2700920e+00,9.4552096e-03,9.9094185e-01
5.0410328e+00,1.8163100e-02,9.9485528e-01
5.9511619e+00,2.5266601e-02,9.9598089e-01
7.0256095e+00,3.1465501e-02,9.9649645e-01
8.2940426e+00,3.6277600e-02,9.9670338e-01
1.0000000e+01,3.9330699e-02,9.9666950e-01
1.1318249e+01,3.9695900e-02,9.9649681e-01
1.3361693e+01,3.8041100e-02,9.9604209e-01
1.5774070e+01,3.4267601e-02,9.9524746e-01
1.8621986e+01,2.9070500e-02,9.9394806e-01
2.1984077e+01,2.3288500e-02,9.9185343e-01
2.5953175e+01,1.7683700e-02,9.8846023e-01
3.0000000e+01,1.3358900e-02,9.8377152e-01
3.5416325e+01,9.3018496e-03,9.7515782e-01
4.1810539e+01,6.2396000e-03,9.6088941e-01
4.9359188e+01,4.0607699e-03,9.3747502e-01
5.8270699e+01,2.5834399e-03,9.0013807e-01
6.8791138e+01,1.6185900e-03,8.4374644e-01
8.1210976e+01,1.0053100e-03,7.6545851e-01
1.0000000e+02,5.5122300e-04,6.4179319e-01
1.1318250e+02,3.2535501e-04,5.2883528e-01
1.3361693e+02,1.8305900e-04,4.1140393e-01
1.5774069e+02,1.1145100e-04,3.2397611e-01
1.8621985e+02,7.0443297e-05,2.5702118e-01
2.1984077e+02,4.5500899e-05,2.0500590e-01
2.5953177e+02,2.9782899e-05,1.6416487e-01
3.0000000e+02,2.0709400e-05,1.3553898e-01
3.6170541e+02,1.3019400e-05,1.0606892e-01
4.2700922e+02,8.6367800e-06,8.5426242e-02
5.0410324e+02,5.7265402e-06,6.8835650e-02
5.9511621e+02,3.7887301e-06,5.5461393e-02
7.0256097e+02,2.4981100e-06,4.4657857e-02
8.2940424e+02,1.6401600e-06,3.5922353e-02
1.0000000e+03,1.0148400e-06,2.8060950e-02
1.1559279e+03,6.9638600e-07,2.3139904e-02
1.3646240e+03,4.5015301e-07,1.8523009e-02
1.6109990e+03,2.8940099e-07,1.4797413e-02
1.9018555e+03,1.8510001e-07,1.1797129e-02
2.2452244e+03,1.1780800e-07,9.3851336e-03
2.6505867e+03,7.4638599e-08,7.4498128e-03
3.0000000e+03,5.2958001e-08,6.2614643e-03
3.6940818e+03,2.9613901e-08,4.6609513e-03
4.3610269e+03,1.8562400e-08,3.6709864e-03
5.1483853e+03,1.1610100e-08,2.8808943e-03
6.0778960e+03,7.2497999e-09,0.0000000e+00
7.1752246e+03,4.5202002e-09,0.0000000e+00
8.4706699e+03,2.8195100e-09,0.0000000e+00
1.0000000e+04,1.7586100e-09,0.0000000e+00
