E,<Daa>,Prec_Ratio
9.9999994e-02,0.0000000e+00,0.0000000e+00
1.1318249e-01,0.0000000e+00,0.0000000e+00
1.3361694e-01,0.0000000e+00,0.0000000e+00
1.5774070e-01,0.0000000e+00,0.0000000e+00
1.8621986e-01,0.0000000e+00,0.0000000e+00
2.1984078e-01,0.0000000e+00,0.0000000e+00
2.5953174e-01,0.0000000e+00,0.0000000e+00
3.0000001e-01,0.0000000e+00,0.0000000e+00
3.6170539e-01,0.0000000e+00,0.0000000e+00
4.2700922e-01,0.0000000e+00,0.0000000e+00
5.0410324e-01,0.0000000e+00,0.0000000e+00
5.9511620e-01,0.0000000e+00,0.0000000e+00
7.0256096e-01,0.0000000e+00,0.0000000e+00
8.2940429e-01,0.0000000e+00,0.0000000e+00
1.0000000e+00,4.3456400e-10,0.0000000e+00
1.1318250e+00,1.1521500e-09,0.0000000e+00
1.3361694e+00,3.8918100e-09,2.8867918e-03
1.5774070e+00,1.4857200e-08,5.4831765e-03
1.8621986e+00,6.4913401e-08,1.1027618e-02
2.1984079e+00,3.1867100e-07,2.3397417e-02
2.5953176e+00,8.8794902e-04,7.5962101e-01
3.0000000e+00,4.1534002e-03,9.2707220e-01
3.6170540e+00,7.7917399e-03,9.5556822e-01
4.2700920e+00,1.0867800e-02,9.6496206e-01
5.0410328e+00,1.3633100e-02,9.6949461e-01
5.9511619e+00,1.5809599e-02,9.7138106e-01
7.0256095e+00,1.7182600e-02,9.7143185e-01
8.2940426e+00,1.7541099e-02,9.6972171e-01
1.0000000e+01,1.6680600e-02,9.6533569e-01
1.1318249e+01,1.5496600e-02,9.6063823e-01
1.3361693e+01,1.3375600e-02,9.5124528e-01
1.5774070e+01,1.0964300e-02,9.3690741e-01
1.8621986e+01,8.5708601e-03,9.1537483e-01
2.1984077e+01,6.4252699e-03,8.8367965e-01
2.5953175e+01,4.6506100e-03,8.3852637e-01
3.0000000e+01,3.4220200e-03,7.8586449e-01
3.5416325e+01,2.3572301e-03,7.1023702e-01
4.1810539e+01,1.5940299e-03,6.2159941e-01
4.9359188e+01,1.0672400e-03,5.2811257e-01
5.8270699e+01,7.0889603e-04,4.3784519e-01
6.8791138e+01,4.6913500e-04,3.5705625e-01
8.1210976e+01,2.8467100e-04,2.7729471e-01
1.0000000e+02,1.6404199e-04,2.0696501e-01
1.1318250e+02,1.2025400e-04,1.7488142e-01
1.3361693e+02,8.0363403e-05,1.4020363e-01
1.5774069e+02,5.4451699e-05,1.1306690e-01
1.8621985e+02,3.6989401e-05,9.1295704e-02
2.1984077e+02,2.5317400e-05,7.4026925e-02
2.5953177e+02,1.7328801e-05,6.0079970e-02
3.0000000e+02,1.2421700e-05,5.0070836e-02
3.6170541e+02,8.0224299e-06,3.9490686e-02
4.2700922e+02,5.4424600e-06,3.2040299e-02
5.0410324e+02,3.6697400e-06,2.5957488e-02
5.9511621e+02,2.4573601e-06,2.0989892e-02
7.0256097e+02,1.6331700e-06,1.6934709e-02
8.2940424e+02,1.0749100e-06,1.3615609e-02
1.0000000e+03,6.6641900e-07,1.0627706e-02
1.1559279e+03,4.5405400e-07,8.7206283e-03
1.3646240e+03,2.9095699e-07,6.9377159e-03
1.6109990e+03,1.8516700e-07,5.5015123e-03
1.9018555e+03,1.1672300e-07,4.3400380e-03
2.2452244e+03,7.3163200e-08,3.4096426e-03
2.6505867e+03,4.5569799e-08,0.0000000e+00
3.0000000e+03,3.2004600e-08,0.0000000e+00
3.6940818e+03,1.7402501e-08,0.0000000e+00
4.3610269e+03,1.0686000e-08,0.0000000e+00
5.1483853e+03,6.5358701e-09,0.0000000e+00
6.0778960e+03,3.9296100e-09,0.0000000e+00
7.1752246e+03,2.3945499e-09,0.0000000e+00
8.4706699e+03,1.4372999e-09,0.0000000e+00
1.0000000e+04,8.6060098e-10,0.0000000e+00
