E,<Daa>,Prec_Ratio
9.9999994e-02,0.0000000e+00,0.0000000e+00
1.1318249e-01,0.0000000e+00,0.0000000e+00
1.3361694e-01,0.0000000e+00,0.0000000e+00
1.5774070e-01,0.0000000e+00,0.0000000e+00
1.8621986e-01,0.0000000e+00,0.0000000e+00
2.1984078e-01,0.0000000e+00,0.0000000e+00
2.5953174e-01,0.0000000e+00,0.0000000e+00
3.0000001e-01,0.0000000e+00,0.0000000e+00
3.6170539e-01,0.0000000e+00,0.0000000e+00
4.2700922e-01,0.0000000e+00,0.0000000e+00
5.0410324e-01,0.0000000e+00,0.0000000e+00
5.9511620e-01,1.4445700e-09,0.0000000e+00
7.0256096e-01,1.8356900e-08,7.4709762e-03
8.2940429e-01,7.8992599e-08,1.4874273e-02
1.0000000e+00,3.6641899e-07,3.0471647e-02
1.1318250e+00,1.0909600e-06,5.0718531e-02
1.3361694e+00,5.4635598e-06,1.0724814e-01
1.5774070e+00,9.0206199e-04,8.0082068e-01
1.8621986e+00,3.4230400e-03,9.2987976e-01
2.1984079e+00,6.0788002e-03,9.5551147e-01
2.5953176e+00,8.9683002e-03,9.6673571e-01
3.0000000e+00,1.1509700e-02,9.7194761e-01
3.6170540e+00,1.4684400e-02,9.7575161e-01
4.2700920e+00,1.7099001e-02,9.7734583e-01
5.0410328e+00,1.8754400e-02,9.7757628e-01
5.9511619e+00,1.9633200e-02,9.7678249e-01
7.0256095e+00,1.9643800e-02,9.7489165e-01
8.2940426e+00,1.8909300e-02,9.7183045e-01
1.0000000e+01,1.7389599e-02,9.6668641e-01
1.1318249e+01,1.6110100e-02,9.6206162e-01
1.3361693e+01,1.4227600e-02,9.5398651e-01
1.5774070e+01,1.2291400e-02,9.4320639e-01
1.8621986e+01,1.0429300e-02,9.2903773e-01
2.1984077e+01,8.7243803e-03,9.1071880e-01
2.5953175e+01,7.2148200e-03,8.8741398e-01
3.0000000e+01,6.0650702e-03,8.6235933e-01
3.5416325e+01,4.9350602e-03,8.2769666e-01
4.1810539e+01,3.9880401e-03,7.8634388e-01
4.9359188e+01,3.1872599e-03,7.3762825e-01
5.8270699e+01,2.5347101e-03,6.8323618e-01
6.8791138e+01,2.0056299e-03,6.2471534e-01
8.1210976e+01,1.5784600e-03,5.6407092e-01
1.0000000e+02,1.1592699e-03,4.8830846e-01
1.1318250e+02,9.6012099e-04,4.4480158e-01
1.3361693e+02,7.4113999e-04,3.8957178e-01
1.5774069e+02,5.6773901e-04,3.3868986e-01
1.8621985e+02,4.3122299e-04,2.9254876e-01
2.1984077e+02,3.2451801e-04,2.5121181e-01
2.5953177e+02,2.4177200e-04,2.1451712e-01
3.0000000e+02,1.8535000e-04,1.8606819e-01
3.6170541e+02,1.2984499e-04,1.5391812e-01
4.2700922e+02,9.3483803e-05,1.2933389e-01
5.0410324e+02,6.6473600e-05,1.0809255e-01
5.9511621e+02,4.6673598e-05,8.9854973e-02
7.0256097e+02,3.2354401e-05,7.4291345e-02
8.2940424e+02,2.2147600e-05,6.1098060e-02
1.0000000e+03,1.4239300e-05,4.8714329e-02
1.1559279e+03,1.0011200e-05,4.0698789e-02
1.3646240e+03,6.6200400e-06,3.2981829e-02
1.6109990e+03,4.3355299e-06,2.6616730e-02
1.9018555e+03,2.8156701e-06,2.1401536e-02
2.2452244e+03,1.8157700e-06,1.7154657e-02
2.6505867e+03,1.1646800e-06,1.3717403e-02
3.0000000e+03,8.3419297e-07,1.1596649e-02
3.6940818e+03,4.7483800e-07,8.7331016e-03
4.3610269e+03,3.0286699e-07,6.9624691e-03
5.1483853e+03,1.9356899e-07,5.5533964e-03
6.0778960e+03,1.2417600e-07,4.4335465e-03
7.1752246e+03,8.0119101e-08,3.5443556e-03
8.4706699e+03,5.2075400e-08,2.8374365e-03
1.0000000e+04,3.4176299e-08,0.0000000e+00
