E,<Daa>,Prec_Ratio
9.9999994e-02,1.0802200e-10,0.0000000e+00
1.1318249e-01,2.4817401e-10,2.8982790e-03
1.3361694e-01,6.3656702e-10,4.5004888e-03
1.5774070e-01,1.4826100e-09,6.6141315e-03
1.8621986e-01,3.3023200e-09,9.4814391e-03
2.1984078e-01,7.2317898e-09,1.3459518e-02
2.5953174e-01,1.5881501e-08,1.9118161e-02
3.0000001e-01,3.2061600e-08,2.6155626e-02
3.6170539e-01,8.2767599e-08,3.9969489e-02
4.2700922e-01,2.0425900e-07,5.9927943e-02
5.0410324e-01,5.4913897e-07,9.3424357e-02
5.9511620e-01,1.6140400e-06,1.5115437e-01
7.0256096e-01,4.3882701e-06,2.3306463e-01
8.2940429e-01,1.2733700e-05,3.6292422e-01
1.0000000e+00,4.6369001e-05,5.8202854e-01
1.1318250e+00,1.1504200e-04,7.4223080e-01
1.3361694e+00,4.1205500e-04,8.9782896e-01
1.5774070e+00,4.8456900e-02,9.9890992e-01
1.8621986e+00,1.5729600e-01,9.9963493e-01
2.1984079e+00,2.5905499e-01,9.9975923e-01
2.5953176e+00,3.5952601e-01,9.9981160e-01
3.0000000e+00,4.4235599e-01,9.9983546e-01
3.6170540e+00,5.3239101e-01,9.9985002e-01
4.2700920e+00,5.8514303e-01,9.9985187e-01
5.0410328e+00,6.0768402e-01,9.9984520e-01
5.9511619e+00,5.9727198e-01,9.9982910e-01
7.0256095e+00,5.5694199e-01,9.9980118e-01
8.2940426e+00,4.9416500e-01,9.9975700e-01
1.0000000e+01,4.0878600e-01,9.9967827e-01
1.1318249e+01,3.5006899e-01,9.9960111e-01
1.3361693e+01,2.7503800e-01,9.9945007e-01
1.5774070e+01,2.0880300e-01,9.9921589e-01
1.8621986e+01,1.5385100e-01,9.9884894e-01
2.1984077e+01,1.1056100e-01,9.9826918e-01
2.5953175e+01,7.7883303e-02,9.9734834e-01
3.0000000e+01,5.6615800e-02,9.9610646e-01
3.5416325e+01,3.8800001e-02,9.9389074e-01
4.1810539e+01,2.6270499e-02,9.9032689e-01
4.9359188e+01,1.6789000e-02,9.8386050e-01
5.8270699e+01,1.0716200e-02,9.7323665e-01
6.8791138e+01,6.8182098e-03,9.5598006e-01
8.1210976e+01,4.3182499e-03,9.2852181e-01
1.0000000e+02,2.4153900e-03,8.7268236e-01
1.1318250e+02,1.7011000e-03,8.2490637e-01
1.3361693e+02,1.0564700e-03,7.4240380e-01
1.5774069e+02,6.5096701e-04,6.4250103e-01
1.8621985e+02,3.9763001e-04,5.3491427e-01
2.1984077e+02,2.4067200e-04,4.3136082e-01
2.5953177e+02,1.4431900e-04,3.4008357e-01
3.0000000e+02,9.1653099e-05,2.7289462e-01
3.6170541e+02,5.0507599e-05,2.0297019e-01
4.2700922e+02,2.9520401e-05,1.5483945e-01
5.0410324e+02,1.7145399e-05,1.1751921e-01
5.9511621e+02,9.9110503e-06,8.8899704e-02
7.0256097e+02,5.7135098e-06,6.7139282e-02
8.2940424e+02,3.2911801e-06,5.0693066e-02
1.0000000e+03,1.7704900e-06,3.6981805e-02
1.1559279e+03,1.0982100e-06,2.9018377e-02
1.3646240e+03,6.3819601e-07,2.2038441e-02
1.6109990e+03,3.7309599e-07,1.6795755e-02
1.9018555e+03,2.1979100e-07,1.2854157e-02
2.2452244e+03,1.3073399e-07,9.8871947e-03
2.6505867e+03,7.8687002e-08,7.6499709e-03
3.0000000e+03,5.4366200e-08,6.3447251e-03
3.6940818e+03,2.9814899e-08,4.6769608e-03
4.3610269e+03,1.8847400e-08,3.6997057e-03
5.1483853e+03,1.2145500e-08,2.9490127e-03
6.0778960e+03,7.9792803e-09,0.0000000e+00
7.1752246e+03,5.3399498e-09,0.0000000e+00
8.4706699e+03,3.6327501e-09,0.0000000e+00
1.0000000e+04,2.5061699e-09,0.0000000e+00
