E,<Daa>,Prec_Ratio
9.9999994e-02,0.0000000e+00,0.0000000e+00
1.1318249e-01,0.0000000e+00,0.0000000e+00
1.3361694e-01,0.0000000e+00,0.0000000e+00
1.5774070e-01,0.0000000e+00,0.0000000e+00
1.8621986e-01,0.0000000e+00,0.0000000e+00
2.1984078e-01,0.0000000e+00,0.0000000e+00
2.5953174e-01,0.0000000e+00,0.0000000e+00
3.0000001e-01,0.0000000e+00,0.0000000e+00
3.6170539e-01,0.0000000e+00,0.0000000e+00
4.2700922e-01,0.0000000e+00,0.0000000e+00
5.0410324e-01,0.0000000e+00,0.0000000e+00
5.9511620e-01,7.5694201e-10,3.3592243e-03
7.0256096e-01,8.9158299e-09,1.1183659e-02
8.2940429e-01,3.8931301e-08,2.2380214e-02
1.0000000e+00,1.8218100e-07,4.5938399e-02
1.1318250e+00,5.4225399e-07,7.6232270e-02
1.3361694e+00,2.7085900e-06,1.5964303e-01
1.5774070e+00,1.3903000e-03,9.6378592e-01
1.8621986e+00,5.0661499e-03,9.8882853e-01
2.1984079e+00,8.8045299e-03,9.9297994e-01
2.5953176e+00,1.2940700e-02,9.9480072e-01
3.0000000e+00,1.6581399e-02,9.9563511e-01
3.6170540e+00,2.1212099e-02,9.9625373e-01
4.2700920e+00,2.4695201e-02,9.9650582e-01
5.0410328e+00,2.7087901e-02,9.9654253e-01
5.9511619e+00,2.8580399e-02,9.9644469e-01
7.0256095e+00,2.8821900e-02,9.9617674e-01
8.2940426e+00,2.8094601e-02,9.9574862e-01
1.0000000e+01,2.6263099e-02,9.9502335e-01
1.1318249e+01,2.4663700e-02,9.9437766e-01
1.3361693e+01,2.2247201e-02,9.9325751e-01
1.5774070e+01,1.9714400e-02,9.9177757e-01
1.8621986e+01,1.7208200e-02,9.8983274e-01
2.1984077e+01,1.4849900e-02,9.8730237e-01
2.5953175e+01,1.2704000e-02,9.8403308e-01
3.0000000e+01,1.1015100e-02,9.8040847e-01
3.5416325e+01,9.2996396e-03,9.7515211e-01
4.1810539e+01,7.8032198e-03,9.6839722e-01
4.9359188e+01,6.4886902e-03,9.5961641e-01
5.8270699e+01,5.3714202e-03,9.4843090e-01
6.8791138e+01,4.4233198e-03,9.3422666e-01
8.1210976e+01,3.6215300e-03,9.1629467e-01
1.0000000e+02,2.7930201e-03,8.8733966e-01
1.1318250e+02,2.3804200e-03,8.6608706e-01
1.3361693e+02,1.9084699e-03,8.3225929e-01
1.5774069e+02,1.5172299e-03,7.9184371e-01
1.8621985e+02,1.1950800e-03,7.4471370e-01
2.1984077e+02,9.3189400e-04,6.9132803e-01
2.5953177e+02,7.1877800e-04,6.3282991e-01
3.0000000e+02,5.6755199e-04,5.7897031e-01
3.6170541e+02,4.1253399e-04,5.0803021e-01
4.2700922e+02,3.0648799e-04,4.4608822e-01
5.0410324e+02,2.2460600e-04,3.8708006e-01
5.9511621e+02,1.6227301e-04,3.3230952e-01
7.0256097e+02,1.1555700e-04,2.8254729e-01
8.2940424e+02,8.1101301e-05,2.3810165e-01
1.0000000e+03,5.3483102e-05,1.9437626e-01
1.1559279e+03,3.8263501e-05,1.6496213e-01
1.3646240e+03,2.5743300e-05,1.3574925e-01
1.6109990e+03,1.7097700e-05,1.1093528e-01
1.9018555e+03,1.1219400e-05,9.0074702e-02
2.2452244e+03,7.2805601e-06,7.2705446e-02
2.6505867e+03,4.6777500e-06,5.8376534e-02
3.0000000e+03,3.3433801e-06,4.9406578e-02
3.6940818e+03,1.8838500e-06,3.7142842e-02
4.3610269e+03,1.1836200e-06,2.9469644e-02
5.1483853e+03,7.4039599e-07,2.3325129e-02
6.0778960e+03,4.6169700e-07,1.8428908e-02
7.1752246e+03,2.8734101e-07,1.4542727e-02
8.4706699e+03,1.7875300e-07,1.1470317e-02
1.0000000e+04,1.1134900e-07,9.0496278e-03
