E,<Daa>,Prec_Ratio
9.9999994e-02,0.0000000e+00,0.0000000e+00
1.1318249e-01,0.0000000e+00,0.0000000e+00
1.3361694e-01,0.0000000e+00,0.0000000e+00
1.5774070e-01,0.0000000e+00,0.0000000e+00
1.8621986e-01,0.0000000e+00,0.0000000e+00
2.1984078e-01,0.0000000e+00,0.0000000e+00
2.5953174e-01,0.0000000e+00,0.0000000e+00
3.0000001e-01,0.0000000e+00,0.0000000e+00
3.6170539e-01,0.0000000e+00,0.0000000e+00
4.2700922e-01,0.0000000e+00,0.0000000e+00
5.0410324e-01,0.0000000e+00,0.0000000e+00
5.9511620e-01,2.0966700e-08,1.7859718e-02
7.0256096e-01,1.2251100e-07,4.1188877e-02
8.2940429e-01,4.4193800e-07,7.4402436e-02
1.0000000e+00,2.1321700e-06,1.5256825e-01
1.1318250e+00,6.7710998e-06,2.5514161e-01
1.3361694e+00,3.7463800e-05,5.1184633e-01
1.5774070e+00,6.1740600e-02,9.9914419e-01
1.8621986e+00,1.6069400e-01,9.9964265e-01
2.1984079e+00,2.3144500e-01,9.9973052e-01
2.5953176e+00,2.9402101e-01,9.9976964e-01
3.0000000e+00,3.3910701e-01,9.9978538e-01
3.6170540e+00,3.7917900e-01,9.9978943e-01
4.2700920e+00,3.9178899e-01,9.9977879e-01
5.0410328e+00,3.8081601e-01,9.9975301e-01
5.9511619e+00,3.4925500e-01,9.9970779e-01
7.0256095e+00,3.0239400e-01,9.9963391e-01
8.2940426e+00,2.4799900e-01,9.9951595e-01
1.0000000e+01,1.8665200e-01,9.9929574e-01
1.1318249e+01,1.4974600e-01,9.9906815e-01
1.3361693e+01,1.0756600e-01,9.9859548e-01
1.5774070e+01,7.4610896e-02,9.9780973e-01
1.8621986e+01,5.0309800e-02,9.9649106e-01
2.1984077e+01,3.3224400e-02,9.9427110e-01
2.5953175e+01,2.1648001e-02,9.9054685e-01
3.0000000e+01,1.4803700e-02,9.8532442e-01
3.5416325e+01,9.5592802e-03,9.7580528e-01
4.1810539e+01,6.1835102e-03,9.6055324e-01
4.9359188e+01,3.3573001e-03,9.2566448e-01
5.8270699e+01,2.0550000e-03,8.7857349e-01
6.8791138e+01,1.3280000e-03,8.1772581e-01
8.1210976e+01,8.8538899e-04,7.4423884e-01
1.0000000e+02,5.4793002e-04,6.4062642e-01
1.1318250e+02,4.1610899e-04,5.7725955e-01
1.3361693e+02,2.9014199e-04,4.9521515e-01
1.5774069e+02,2.0362900e-04,4.2005048e-01
1.8621985e+02,1.4340400e-04,3.5361735e-01
2.1984077e+02,1.0114100e-04,2.9625471e-01
2.5953177e+02,7.1306698e-05,2.4735658e-01
3.0000000e+02,5.2466101e-05,2.1083395e-01
3.6170541e+02,3.5164001e-05,1.7104505e-01
4.2700922e+02,2.4524799e-05,1.4168041e-01
5.0410324e+02,1.7002500e-05,1.1704423e-01
5.9511621e+02,1.1705900e-05,9.6414696e-02
7.0256097e+02,7.9988704e-06,7.9182929e-02
8.2940424e+02,5.4223701e-06,6.4825911e-02
1.0000000e+03,3.4645100e-06,5.1538725e-02
1.1559279e+03,2.4311400e-06,4.3023387e-02
1.3646240e+03,1.6081400e-06,3.4875515e-02
1.6109990e+03,1.0556000e-06,2.8179930e-02
1.9018555e+03,6.8790303e-07,2.2699237e-02
2.2452244e+03,4.4527599e-07,1.8230375e-02
2.6505867e+03,2.8650601e-07,1.4601694e-02
3.0000000e+03,2.0547500e-07,1.2353198e-02
3.6940818e+03,1.1689200e-07,9.3015978e-03
4.3610269e+03,7.4226001e-08,7.4004271e-03
5.1483853e+03,4.7025800e-08,5.8781453e-03
6.0778960e+03,2.9750600e-08,4.6613844e-03
7.1752246e+03,1.8807700e-08,3.6894567e-03
8.4706699e+03,1.1894900e-08,2.9135911e-03
1.0000000e+04,7.5364701e-09,0.0000000e+00
