E,<Daa>,Prec_Ratio
9.9999994e-02,0.0000000e+00,0.0000000e+00
1.1318249e-01,0.0000000e+00,0.0000000e+00
1.3361694e-01,0.0000000e+00,0.0000000e+00
1.5774070e-01,0.0000000e+00,0.0000000e+00
1.8621986e-01,0.0000000e+00,0.0000000e+00
2.1984078e-01,0.0000000e+00,0.0000000e+00
2.5953174e-01,0.0000000e+00,0.0000000e+00
3.0000001e-01,0.0000000e+00,0.0000000e+00
3.6170539e-01,0.0000000e+00,0.0000000e+00
4.2700922e-01,0.0000000e+00,0.0000000e+00
5.0410324e-01,0.0000000e+00,0.0000000e+00
5.9511620e-01,0.0000000e+00,0.0000000e+00
7.0256096e-01,0.0000000e+00,0.0000000e+00
8.2940429e-01,0.0000000e+00,0.0000000e+00
1.0000000e+00,0.0000000e+00,0.0000000e+00
1.1318250e+00,0.0000000e+00,0.0000000e+00
1.3361694e+00,2.0226601e-08,6.6774047e-03
1.5774070e+00,1.2130300e-07,1.5702389e-02
1.8621986e+00,4.5363299e-07,2.9052153e-02
2.1984079e+00,4.0130799e-06,8.1782415e-02
2.5953176e+00,3.4019101e-04,5.8019274e-01
3.0000000e+00,1.8481200e-03,8.5366925e-01
3.6170540e+00,1.1307100e-02,9.6880939e-01
4.2700920e+00,2.0502601e-02,9.8101156e-01
5.0410328e+00,3.0299099e-02,9.8596058e-01
5.9511619e+00,4.0308598e-02,9.8850921e-01
7.0256095e+00,4.9708702e-02,9.8987298e-01
8.2940426e+00,5.7510301e-02,9.9049875e-01
1.0000000e+01,6.3332498e-02,9.9054891e-01
1.1318249e+01,6.5047301e-02,9.9023296e-01
1.3361693e+01,6.4466700e-02,9.8933638e-01
1.5774070e+01,6.0833301e-02,9.8778922e-01
1.8621986e+01,5.4785401e-02,9.8537510e-01
2.1984077e+01,4.7274601e-02,9.8176159e-01
2.5953175e+01,3.9218400e-02,9.7641746e-01
3.0000000e+01,3.2375801e-02,9.6973790e-01
3.5416325e+01,2.5243100e-02,9.5877489e-01
4.1810539e+01,1.9166300e-02,9.4282274e-01
4.9359188e+01,1.4233600e-02,9.1990213e-01
5.8270699e+01,1.0382600e-02,8.8768697e-01
6.8791138e+01,7.4622799e-03,8.4383064e-01
8.1210976e+01,5.2949898e-03,7.8667875e-01
1.0000000e+02,3.3360200e-03,6.9378108e-01
1.1318250e+02,2.5033599e-03,6.2992106e-01
1.3361693e+02,1.6979200e-03,5.4153567e-01
1.5774069e+02,1.1486200e-03,4.5625916e-01
1.8621985e+02,7.7407702e-04,3.7869308e-01
2.1984077e+02,5.1922898e-04,3.1100366e-01
2.5953177e+02,3.4635299e-04,2.5345146e-01
3.0000000e+02,2.4198501e-04,2.1094071e-01
3.6170541e+02,1.5103300e-04,1.6543054e-01
4.2700922e+02,9.8533303e-05,1.3265369e-01
5.0410324e+02,6.3729502e-05,1.0590296e-01
5.9511621e+02,4.0836901e-05,8.4179757e-02
7.0256097e+02,2.5920801e-05,6.6632799e-02
8.2940424e+02,1.6296201e-05,5.2527608e-02
1.0000000e+03,9.5542400e-06,3.9993267e-02
1.1559279e+03,6.2671802e-06,3.2269977e-02
1.3646240e+03,3.8351300e-06,2.5151405e-02
1.6109990e+03,2.3277501e-06,1.9534457e-02
1.9018555e+03,1.4021900e-06,1.5121456e-02
2.2452244e+03,8.3907599e-07,1.1670020e-02
2.6505867e+03,4.9943498e-07,8.9829354e-03
3.0000000e+03,3.3794001e-07,7.3755760e-03
3.6940818e+03,1.7436700e-07,5.2769531e-03
4.3610269e+03,1.0240800e-07,4.0247087e-03
5.1483853e+03,6.0056102e-08,3.0588553e-03
6.0778960e+03,3.5121602e-08,0.0000000e+00
7.1752246e+03,2.0487001e-08,0.0000000e+00
8.4706699e+03,1.1956700e-08,0.0000000e+00
1.0000000e+04,6.9700201e-09,0.0000000e+00
