E,<Daa>,Prec_Ratio
9.9999994e-02,0.0000000e+00,0.0000000e+00
1.1318249e-01,0.0000000e+00,0.0000000e+00
1.3361694e-01,0.0000000e+00,0.0000000e+00
1.5774070e-01,0.0000000e+00,0.0000000e+00
1.8621986e-01,0.0000000e+00,0.0000000e+00
2.1984078e-01,0.0000000e+00,0.0000000e+00
2.5953174e-01,0.0000000e+00,0.0000000e+00
3.0000001e-01,0.0000000e+00,0.0000000e+00
3.6170539e-01,0.0000000e+00,0.0000000e+00
4.2700922e-01,0.0000000e+00,0.0000000e+00
5.0410324e-01,0.0000000e+00,0.0000000e+00
5.9511620e-01,0.0000000e+00,0.0000000e+00
7.0256096e-01,0.0000000e+00,0.0000000e+00
8.2940429e-01,0.0000000e+00,0.0000000e+00
1.0000000e+00,0.0000000e+00,0.0000000e+00
1.1318250e+00,0.0000000e+00,0.0000000e+00
1.3361694e+00,2.9842400e-09,0.0000000e+00
1.5774070e+00,7.1578302e-07,3.7947391e-02
1.8621986e+00,1.8650000e-05,1.7865720e-01
2.1984079e+00,9.3924697e-05,3.6060783e-01
2.5953176e+00,3.0510500e-04,5.5867255e-01
3.0000000e+00,9.0735400e-04,7.5123609e-01
3.6170540e+00,3.5208999e-03,9.0822708e-01
4.2700920e+00,6.0669300e-03,9.3946444e-01
5.0410328e+00,8.7165004e-03,9.5335443e-01
5.9511619e+00,1.1428600e-02,9.6097949e-01
7.0256095e+00,1.3898000e-02,9.6499444e-01
8.2940426e+00,1.6038099e-02,9.6700868e-01
1.0000000e+01,1.7750399e-02,9.6733414e-01
1.1318249e+01,1.8376200e-02,9.6653195e-01
1.3361693e+01,1.8542301e-02,9.6418412e-01
1.5774070e+01,1.7983800e-02,9.6023410e-01
1.8621986e+01,1.6837001e-02,9.5441090e-01
2.1984077e+01,1.5279300e-02,9.4629599e-01
2.5953175e+01,1.3501500e-02,9.3535541e-01
3.0000000e+01,1.1898600e-02,9.2298034e-01
3.5416325e+01,1.0116000e-02,9.0489725e-01
4.1810539e+01,8.4717702e-03,8.8191624e-01
4.9359188e+01,7.0136702e-03,8.5339367e-01
5.8270699e+01,5.7601798e-03,8.1899797e-01
6.8791138e+01,4.6889898e-03,7.7824858e-01
8.1210976e+01,3.7742199e-03,7.3077736e-01
1.0000000e+02,2.8375301e-03,6.6322703e-01
1.1318250e+02,2.3817900e-03,6.2014806e-01
1.3361693e+02,1.8779300e-03,5.6137423e-01
1.5774069e+02,1.4697900e-03,5.0253616e-01
1.8621985e+02,1.1409500e-03,4.4535706e-01
2.1984077e+02,8.8103500e-04,3.9181434e-01
2.5953177e+02,6.7572400e-04,3.4250340e-01
3.0000000e+02,5.3286302e-04,3.0319670e-01
3.6170541e+02,3.8850601e-04,2.5756600e-01
4.2700922e+02,2.9021301e-04,2.2153351e-01
5.0410324e+02,2.1621201e-04,1.9026369e-01
5.9511621e+02,1.5924200e-04,1.6254245e-01
7.0256097e+02,1.1696100e-04,1.3872237e-01
8.2940424e+02,8.5215601e-05,1.1798816e-01
1.0000000e+03,5.9155602e-05,9.7983328e-02
1.1559279e+03,4.4631299e-05,8.4930226e-02
1.3646240e+03,3.2387899e-05,7.2208761e-02
1.6109990e+03,2.3271101e-05,6.1123012e-02
1.9018555e+03,1.6858699e-05,5.1969808e-02
2.2452244e+03,1.2232800e-05,4.4237388e-02
2.6505867e+03,8.8918096e-06,3.7698542e-02
3.0000000e+03,6.9954399e-06,3.3431370e-02
3.6940818e+03,4.7106400e-06,2.7429506e-02
4.3610269e+03,3.4444799e-06,2.3454870e-02
5.1483853e+03,2.5029301e-06,1.9994836e-02
6.0778960e+03,1.8229000e-06,1.7064666e-02
7.1752246e+03,1.3308101e-06,1.4580840e-02
8.4706699e+03,9.6557505e-07,1.2419325e-02
1.0000000e+04,7.0227298e-07,1.0589816e-02
