E,<Daa>,Prec_Ratio
9.9999994e-02,0.0000000e+00,0.0000000e+00
1.1318249e-01,0.0000000e+00,0.0000000e+00
1.3361694e-01,0.0000000e+00,0.0000000e+00
1.5774070e-01,0.0000000e+00,0.0000000e+00
1.8621986e-01,0.0000000e+00,0.0000000e+00
2.1984078e-01,0.0000000e+00,0.0000000e+00
2.5953174e-01,0.0000000e+00,0.0000000e+00
3.0000001e-01,0.0000000e+00,0.0000000e+00
3.6170539e-01,0.0000000e+00,0.0000000e+00
4.2700922e-01,0.0000000e+00,0.0000000e+00
5.0410324e-01,1.2455300e-03,9.0341589e-01
5.9511620e-01,6.2031001e-03,9.7658715e-01
7.0256096e-01,2.4323400e-02,9.9336376e-01
8.2940429e-01,5.1330298e-02,9.9656908e-01
1.0000000e+00,5.7138301e-02,9.9661633e-01
1.1318250e+00,5.7346500e-02,9.9641494e-01
1.3361694e+00,5.3425200e-02,9.9582337e-01
1.5774070e+00,5.0348699e-02,9.9519046e-01
1.8621986e+00,4.7693498e-02,9.9449087e-01
2.1984079e+00,4.5952301e-02,9.9379622e-01
2.5953176e+00,4.4592001e-02,9.9306460e-01
3.0000000e+00,4.3728702e-02,9.9240750e-01
3.6170540e+00,4.2262699e-02,9.9139345e-01
4.2700920e+00,4.1542400e-02,9.9050697e-01
5.0410328e+00,4.1825902e-02,9.8977702e-01
5.9511619e+00,4.2835101e-02,9.8917719e-01
7.0256095e+00,4.1547000e-02,9.8791560e-01
8.2940426e+00,3.8900100e-02,9.8603780e-01
1.0000000e+01,3.5119701e-02,9.8312715e-01
1.1318249e+01,3.2256201e-02,9.8056099e-01
1.3361693e+01,2.8273100e-02,9.7611944e-01
1.5774070e+01,2.4124701e-02,9.6995212e-01
1.8621986e+01,1.9950500e-02,9.6115848e-01
2.1984077e+01,1.5950700e-02,9.4840171e-01
2.5953175e+01,1.2323400e-02,9.2975085e-01
3.0000000e+01,9.5660100e-03,9.0652242e-01
3.5416325e+01,6.9429898e-03,8.6894862e-01
4.1810539e+01,4.9027898e-03,8.1666010e-01
4.9359188e+01,3.3968301e-03,7.4854004e-01
5.8270699e+01,2.3333800e-03,6.6755571e-01
6.8791138e+01,1.6012200e-03,5.8024433e-01
8.1210976e+01,1.0968701e-03,4.9323334e-01
1.0000000e+02,6.7563599e-04,3.9182534e-01
1.1318250e+02,4.9743202e-04,3.3632123e-01
1.3361693e+02,3.0615900e-04,2.6315945e-01
1.5774069e+02,1.8682401e-04,2.0381922e-01
1.8621985e+02,1.1612300e-04,1.5866436e-01
2.1984077e+02,7.2937401e-05,1.2391852e-01
2.5953177e+02,4.6500300e-05,9.7426598e-02
3.0000000e+02,3.1797099e-05,7.9485393e-02
3.6170541e+02,1.9874300e-05,6.1796338e-02
4.2700922e+02,1.3274900e-05,4.9813072e-02
5.0410324e+02,8.9295399e-06,4.0346557e-02
5.9511621e+02,6.0810498e-06,3.2925381e-02
7.0256097e+02,4.2113702e-06,2.7132865e-02
8.2940424e+02,2.9620101e-06,2.2563318e-02
1.0000000e+03,2.0099401e-06,1.8438418e-02
1.1559279e+03,1.5040901e-06,1.5867422e-02
1.3646240e+03,1.0922899e-06,1.3453986e-02
1.6109990e+03,7.9172798e-07,1.1406480e-02
1.9018555e+03,5.7865202e-07,9.7172826e-03
2.2452244e+03,4.2392301e-07,8.2921510e-03
2.6505867e+03,3.1138799e-07,7.0875986e-03
3.0000000e+03,2.4801599e-07,6.3132625e-03
3.6940818e+03,1.6749600e-07,5.1708249e-03
4.3610269e+03,1.2310400e-07,4.4197098e-03
5.1483853e+03,8.9944699e-08,3.7640938e-03
6.0778960e+03,6.5740601e-08,3.2031870e-03
7.1752246e+03,4.8100802e-08,0.0000000e+00
8.4706699e+03,3.4970999e-08,0.0000000e+00
1.0000000e+04,2.5360400e-08,0.0000000e+00
