E,<Daa>,Prec_Ratio
9.9999994e-02,0.0000000e+00,0.0000000e+00
1.1318249e-01,0.0000000e+00,0.0000000e+00
1.3361694e-01,0.0000000e+00,0.0000000e+00
1.5774070e-01,0.0000000e+00,0.0000000e+00
1.8621986e-01,0.0000000e+00,0.0000000e+00
2.1984078e-01,0.0000000e+00,0.0000000e+00
2.5953174e-01,0.0000000e+00,0.0000000e+00
3.0000001e-01,0.0000000e+00,0.0000000e+00
3.6170539e-01,0.0000000e+00,0.0000000e+00
4.2700922e-01,0.0000000e+00,0.0000000e+00
5.0410324e-01,0.0000000e+00,0.0000000e+00
5.9511620e-01,7.0884001e-09,1.0393554e-02
7.0256096e-01,1.2922800e-07,4.2291005e-02
8.2940429e-01,9.4606999e-05,7.3521636e-01
1.0000000e+00,1.7740200e-03,9.7696716e-01
1.1318250e+00,4.9322401e-03,9.9101808e-01
1.3361694e+00,1.5841000e-02,9.9693805e-01
1.5774070e+00,6.9871202e-02,9.9924368e-01
1.8621986e+00,1.4942600e-01,9.9961571e-01
2.1984079e+00,2.2671300e-01,9.9972490e-01
2.5953176e+00,3.0368799e-01,9.9977697e-01
3.0000000e+00,3.6571801e-01,9.9980099e-01
3.6170540e+00,4.3458101e-01,9.9981627e-01
4.2700920e+00,4.7816399e-01,9.9981874e-01
5.0410328e+00,5.0060201e-01,9.9981209e-01
5.9511619e+00,5.0027603e-01,9.9979598e-01
7.0256095e+00,4.7868001e-01,9.9976869e-01
8.2940426e+00,4.4011900e-01,9.9972717e-01
1.0000000e+01,3.8371301e-01,9.9965726e-01
1.1318249e+01,3.4289399e-01,9.9959276e-01
1.3361693e+01,2.8820699e-01,9.9947518e-01
1.5774070e+01,2.3699699e-01,9.9930908e-01
1.8621986e+01,1.9156501e-01,9.9907527e-01
2.1984077e+01,1.5290000e-01,9.9874765e-01
2.5953175e+01,1.2098700e-01,9.9829088e-01
3.0000000e+01,9.8152101e-02,9.9774920e-01
3.5416325e+01,7.6944999e-02,9.9690688e-01
4.1810539e+01,6.0137000e-02,9.9574346e-01
4.9359188e+01,4.6584599e-02,9.9410226e-01
5.8270699e+01,3.5957798e-02,9.9181933e-01
6.8791138e+01,2.7775900e-02,9.8869488e-01
8.1210976e+01,2.1442199e-02,9.8442408e-01
1.0000000e+02,1.5451300e-02,9.7679789e-01
1.1318250e+02,1.2681300e-02,9.7063730e-01
1.3361693e+02,9.6916100e-03,9.5982603e-01
1.5774069e+02,7.3727099e-03,9.4525821e-01
1.8621985e+02,5.5810800e-03,9.2584896e-01
2.1984077e+02,4.1967700e-03,9.0026275e-01
2.5953177e+02,3.1293801e-03,8.6703589e-01
3.0000000e+02,2.4128300e-03,8.3126953e-01
3.6170541e+02,1.7091400e-03,7.7484574e-01
4.2700922e+02,1.2490300e-03,7.1575696e-01
5.0410324e+02,9.0530899e-04,6.4978853e-01
5.9511621e+02,6.5177801e-04,5.8005451e-01
7.0256097e+02,4.6625201e-04,5.0996984e-01
8.2940424e+02,3.3093599e-04,4.4234002e-01
1.0000000e+03,2.2394001e-04,3.7269977e-01
1.1559279e+03,1.6480700e-04,3.2428386e-01
1.3646240e+03,1.1607600e-04,2.7562770e-01
1.6109990e+03,8.1598198e-05,2.3345171e-01
1.9018555e+03,5.7529101e-05,1.9762005e-01
2.2452244e+03,4.0750299e-05,1.6742378e-01
2.6505867e+03,2.8885101e-05,1.4173737e-01
3.0000000e+03,2.2498400e-05,1.2552042e-01
3.6940818e+03,1.4755400e-05,1.0215835e-01
4.3610269e+03,1.0632300e-05,8.6999480e-02
5.1483853e+03,7.6811102e-06,7.4151278e-02
6.0778960e+03,5.5500900e-06,6.3182660e-02
7.1752246e+03,4.0304499e-06,5.3952196e-02
8.4706699e+03,2.9270700e-06,4.6058867e-02
1.0000000e+04,2.1107301e-06,3.9172931e-02
