E,<Daa>,Prec_Ratio
9.9999994e-02,0.0000000e+00,0.0000000e+00
1.1318249e-01,0.0000000e+00,0.0000000e+00
1.3361694e-01,0.0000000e+00,0.0000000e+00
1.5774070e-01,0.0000000e+00,0.0000000e+00
1.8621986e-01,0.0000000e+00,0.0000000e+00
2.1984078e-01,0.0000000e+00,0.0000000e+00
2.5953174e-01,6.8435899e-04,9.6984912e-01
3.0000001e-01,1.9912200e-02,9.9884105e-01
3.6170539e-01,9.6527100e-02,9.9973720e-01
4.2700922e-01,2.1374300e-01,9.9987104e-01
5.0410324e-01,2.8944600e-01,9.9989654e-01
5.9511620e-01,3.0433500e-01,9.9989310e-01
7.0256096e-01,2.9737899e-01,9.9988115e-01
8.2940429e-01,3.0272901e-01,9.9987317e-01
1.0000000e+00,3.1686199e-01,9.9986699e-01
1.1318250e+00,3.2896399e-01,9.9986372e-01
1.3361694e+00,3.3828101e-01,9.9985606e-01
1.5774070e+00,3.4046999e-01,9.9984466e-01
1.8621986e+00,3.4304100e-01,9.9983256e-01
2.1984079e+00,3.4577799e-01,9.9981960e-01
2.5953176e+00,3.4852201e-01,9.9980565e-01
3.0000000e+00,3.5296699e-01,9.9979381e-01
3.6170540e+00,3.4646600e-01,9.9976956e-01
4.2700920e+00,3.2863301e-01,9.9973629e-01
5.0410328e+00,3.0257601e-01,9.9968917e-01
5.9511619e+00,2.7129999e-01,9.9962387e-01
7.0256095e+00,2.3613299e-01,9.9953124e-01
8.2940426e+00,1.9905899e-01,9.9939704e-01
1.0000000e+01,1.5818100e-01,9.9916912e-01
1.1318249e+01,1.3245000e-01,9.9894663e-01
1.3361693e+01,1.0141600e-01,9.9851048e-01
1.5774070e+01,7.5227901e-02,9.9782764e-01
1.8621986e+01,5.4207101e-02,9.9674225e-01
2.1984077e+01,3.8203899e-02,9.9501284e-01
2.5953175e+01,2.6619200e-02,9.9229412e-01
3.0000000e+01,1.9289000e-02,9.8868553e-01
3.5416325e+01,1.3316400e-02,9.8247239e-01
4.1810539e+01,9.1393497e-03,9.7285057e-01
4.9359188e+01,6.2187002e-03,9.5796105e-01
5.8270699e+01,4.1155801e-03,9.3407105e-01
6.8791138e+01,2.4875500e-03,8.9045868e-01
8.1210976e+01,1.5482299e-03,8.2938734e-01
1.0000000e+02,8.8488398e-04,7.3005141e-01
1.1318250e+02,6.4125698e-04,6.6206862e-01
1.3361693e+02,4.2359199e-04,5.6897619e-01
1.5774069e+02,2.8410699e-04,4.8052208e-01
1.8621985e+02,1.9324000e-04,4.0190131e-01
2.1984077e+02,1.3252199e-04,3.3422375e-01
2.5953177e+02,9.1212401e-05,2.7690034e-01
3.0000000e+02,6.6434703e-05,2.3535098e-01
3.6170541e+02,4.4220400e-05,1.9065546e-01
4.2700922e+02,3.0956500e-05,1.5839303e-01
5.0410324e+02,2.1847100e-05,1.3210421e-01
5.9511621e+02,1.5446900e-05,1.1032518e-01
7.0256097e+02,1.0950200e-05,9.2314361e-02
8.2940424e+02,7.7483301e-06,7.7234503e-02
1.0000000e+03,5.2962200e-06,6.3521929e-02
1.1559279e+03,3.9436400e-06,5.4630799e-02
1.3646240e+03,2.8326599e-06,4.6153530e-02
1.6109990e+03,2.0472701e-06,3.9137260e-02
1.9018555e+03,1.4781100e-06,3.3189754e-02
2.2452244e+03,1.0703200e-06,2.8200471e-02
2.6505867e+03,7.7779202e-07,2.4012649e-02
3.0000000e+03,6.1491102e-07,2.1336777e-02
3.6940818e+03,4.1467999e-07,1.7507203e-02
4.3610269e+03,3.0200701e-07,1.4933108e-02
5.1483853e+03,2.2029199e-07,1.2748200e-02
6.0778960e+03,1.6058600e-07,1.0879511e-02
7.1752246e+03,1.1677800e-07,9.2727670e-03
8.4706699e+03,8.4851997e-08,7.8988875e-03
1.0000000e+04,6.1506903e-08,6.7188234e-03
