E,<Daa>,Prec_Ratio
9.9999994e-02,0.0000000e+00,0.0000000e+00
1.1318249e-01,0.0000000e+00,0.0000000e+00
1.3361694e-01,0.0000000e+00,0.0000000e+00
1.5774070e-01,0.0000000e+00,0.0000000e+00
1.8621986e-01,0.0000000e+00,0.0000000e+00
2.1984078e-01,0.0000000e+00,0.0000000e+00
2.5953174e-01,0.0000000e+00,0.0000000e+00
3.0000001e-01,0.0000000e+00,0.0000000e+00
3.6170539e-01,0.0000000e+00,0.0000000e+00
4.2700922e-01,0.0000000e+00,0.0000000e+00
5.0410324e-01,0.0000000e+00,0.0000000e+00
5.9511620e-01,0.0000000e+00,0.0000000e+00
7.0256096e-01,0.0000000e+00,0.0000000e+00
8.2940429e-01,0.0000000e+00,0.0000000e+00
1.0000000e+00,1.8716699e-09,4.6709466e-03
1.1318250e+00,5.0648099e-09,7.4789653e-03
1.3361694e+00,1.3077400e-08,1.1538876e-02
1.5774070e+00,3.5396699e-08,1.8198296e-02
1.8621986e+00,1.0524900e-07,3.0029715e-02
2.1984079e+00,3.2968600e-07,5.0732724e-02
2.5953176e+00,3.1221800e-03,9.7890948e-01
3.0000000e+00,7.4766399e-03,9.9038780e-01
3.6170540e+00,1.1555700e-02,9.9315177e-01
4.2700920e+00,1.5379800e-02,9.9440521e-01
5.0410328e+00,1.9332400e-02,9.9516445e-01
5.9511619e+00,2.3027301e-02,9.9559235e-01
7.0256095e+00,2.5978200e-02,9.9576059e-01
8.2940426e+00,2.7758900e-02,9.9569750e-01
1.0000000e+01,2.8060000e-02,9.9534006e-01
1.1318249e+01,2.7262300e-02,9.9490994e-01
1.3361693e+01,2.5138199e-02,9.9402675e-01
1.5774070e+01,2.2159500e-02,9.9267599e-01
1.8621986e+01,1.8764099e-02,9.9066531e-01
2.1984077e+01,1.5346800e-02,9.8770676e-01
2.5953175e+01,1.2195200e-02,9.8338166e-01
3.0000000e+01,9.7913798e-03,9.7803153e-01
3.5416325e+01,7.4905800e-03,9.6939537e-01
4.1810539e+01,5.6601800e-03,9.5711387e-01
4.9359188e+01,4.2448300e-03,9.3997034e-01
5.8270699e+01,3.1722500e-03,9.1663052e-01
6.8791138e+01,2.3472500e-03,8.8490545e-01
8.1210976e+01,1.4339300e-03,8.1901210e-01
1.0000000e+02,7.9651998e-04,7.1127275e-01
1.1318250e+02,5.6331401e-04,6.3697597e-01
1.3361693e+02,3.6278699e-04,5.3845430e-01
1.5774069e+02,2.3798201e-04,4.4778557e-01
1.8621985e+02,1.5226800e-04,3.6296108e-01
2.1984077e+02,9.6363998e-05,2.8985353e-01
2.5953177e+02,5.8891201e-05,2.2637412e-01
3.0000000e+02,3.9155100e-05,1.8369980e-01
3.6170541e+02,2.3114000e-05,1.3996522e-01
4.2700922e+02,1.4611100e-05,1.1034554e-01
5.0410324e+02,9.2087103e-06,8.6865365e-02
5.9511621e+02,5.9546601e-06,6.9275546e-02
7.0256097e+02,3.7561999e-06,5.4618530e-02
8.2940424e+02,2.3143400e-06,4.2598743e-02
1.0000000e+03,1.3787300e-06,3.2670152e-02
1.1559279e+03,9.2508299e-07,2.6648299e-02
1.3646240e+03,5.7933300e-07,2.1002348e-02
1.6109990e+03,3.5977899e-07,1.6494189e-02
1.9018555e+03,2.2140300e-07,1.2901150e-02
2.2452244e+03,1.3567499e-07,1.0072453e-02
2.6505867e+03,8.7278700e-08,8.0582098e-03
3.0000000e+03,5.7783701e-08,6.5423629e-03
3.6940818e+03,3.1127300e-08,4.7801716e-03
4.3610269e+03,1.9322799e-08,3.7471210e-03
5.1483853e+03,1.2011700e-08,2.9321377e-03
6.0778960e+03,6.9603701e-09,0.0000000e+00
7.1752246e+03,4.1599102e-09,0.0000000e+00
8.4706699e+03,2.5226501e-09,0.0000000e+00
1.0000000e+04,1.6010900e-09,0.0000000e+00
