E,<Daa>,Prec_Ratio
9.9999994e-02,0.0000000e+00,0.0000000e+00
1.1318249e-01,0.0000000e+00,0.0000000e+00
1.3361694e-01,0.0000000e+00,0.0000000e+00
1.5774070e-01,0.0000000e+00,0.0000000e+00
1.8621986e-01,0.0000000e+00,0.0000000e+00
2.1984078e-01,0.0000000e+00,0.0000000e+00
2.5953174e-01,0.0000000e+00,0.0000000e+00
3.0000001e-01,0.0000000e+00,0.0000000e+00
3.6170539e-01,0.0000000e+00,0.0000000e+00
4.2700922e-01,0.0000000e+00,0.0000000e+00
5.0410324e-01,0.0000000e+00,0.0000000e+00
5.9511620e-01,0.0000000e+00,0.0000000e+00
7.0256096e-01,0.0000000e+00,0.0000000e+00
8.2940429e-01,0.0000000e+00,0.0000000e+00
1.0000000e+00,0.0000000e+00,0.0000000e+00
1.1318250e+00,0.0000000e+00,0.0000000e+00
1.3361694e+00,0.0000000e+00,0.0000000e+00
1.5774070e+00,0.0000000e+00,0.0000000e+00
1.8621986e+00,0.0000000e+00,0.0000000e+00
2.1984079e+00,0.0000000e+00,0.0000000e+00
2.5953176e+00,0.0000000e+00,0.0000000e+00
3.0000000e+00,0.0000000e+00,0.0000000e+00
3.6170540e+00,0.0000000e+00,0.0000000e+00
4.2700920e+00,1.3235300e-09,0.0000000e+00
5.0410328e+00,4.7433102e-09,0.0000000e+00
5.9511619e+00,1.4653700e-08,3.9008459e-03
7.0256095e+00,5.1860098e-08,7.0923469e-03
8.2940426e+00,2.1945800e-07,1.4019371e-02
1.0000000e+01,2.9388601e-03,8.3793840e-01
1.1318249e+01,6.3053500e-03,9.1009872e-01
1.3361693e+01,9.2818104e-03,9.3169017e-01
1.5774070e+01,1.1626300e-02,9.4021508e-01
1.8621986e+01,1.3467800e-02,9.4385595e-01
2.1984077e+01,1.4697200e-02,9.4432611e-01
2.5953175e+01,1.5167700e-02,9.4190970e-01
3.0000000e+01,1.4936800e-02,9.3734585e-01
3.5416325e+01,1.4002700e-02,9.2880786e-01
4.1810539e+01,1.2516000e-02,9.1582992e-01
4.9359188e+01,1.0707200e-02,8.9711077e-01
5.8270699e+01,8.8032996e-03,8.7096540e-01
6.8791138e+01,6.9901701e-03,8.3555943e-01
8.1210976e+01,5.3875302e-03,7.8933628e-01
1.0000000e+02,3.7547499e-03,7.1540872e-01
1.1318250e+02,2.9847601e-03,6.6402697e-01
1.3361693e+02,2.1654400e-03,5.8955408e-01
1.5774069e+02,1.5533100e-03,5.1317339e-01
1.8621985e+02,1.1060300e-03,4.3975973e-01
2.1984077e+02,7.8417198e-04,3.7277413e-01
2.5953177e+02,5.3269300e-04,3.0819992e-01
3.0000000e+02,3.7261899e-04,2.5771402e-01
3.6170541e+02,2.2987700e-04,2.0180947e-01
4.2700922e+02,1.4672401e-04,1.6054995e-01
5.0410324e+02,9.1425500e-05,1.2611948e-01
5.9511621e+02,5.4288201e-05,9.6724437e-02
7.0256097e+02,3.1449399e-05,7.3265206e-02
8.2940424e+02,1.8196501e-05,5.5463081e-02
1.0000000e+03,1.0096500e-05,4.1100894e-02
1.1559279e+03,6.2511399e-06,3.2228983e-02
1.3646240e+03,3.6933400e-06,2.4684790e-02
1.6109990e+03,2.1817900e-06,1.8914533e-02
1.9018555e+03,1.2949100e-06,1.4532780e-02
2.2452244e+03,7.7203401e-07,1.1194262e-02
2.6505867e+03,4.5273401e-07,8.5517625e-03
3.0000000e+03,3.0877601e-07,7.0487001e-03
3.6940818e+03,1.5989700e-07,5.0508467e-03
4.3610269e+03,9.4522903e-08,3.8635807e-03
5.1483853e+03,5.5588899e-08,2.9389436e-03
6.0778960e+03,3.3378701e-08,0.0000000e+00
7.1752246e+03,1.9422799e-08,0.0000000e+00
8.4706699e+03,1.1542400e-08,0.0000000e+00
1.0000000e+04,6.8214101e-09,0.0000000e+00
