E,<Daa>,Prec_Ratio
9.9999994e-02,0.0000000e+00,0.0000000e+00
1.1318249e-01,0.0000000e+00,0.0000000e+00
1.3361694e-01,0.0000000e+00,0.0000000e+00
1.5774070e-01,0.0000000e+00,0.0000000e+00
1.8621986e-01,0.0000000e+00,0.0000000e+00
2.1984078e-01,0.0000000e+00,0.0000000e+00
2.5953174e-01,0.0000000e+00,0.0000000e+00
3.0000001e-01,0.0000000e+00,0.0000000e+00
3.6170539e-01,0.0000000e+00,0.0000000e+00
4.2700922e-01,0.0000000e+00,0.0000000e+00
5.0410324e-01,0.0000000e+00,0.0000000e+00
5.9511620e-01,0.0000000e+00,0.0000000e+00
7.0256096e-01,0.0000000e+00,0.0000000e+00
8.2940429e-01,0.0000000e+00,0.0000000e+00
1.0000000e+00,0.0000000e+00,0.0000000e+00
1.1318250e+00,0.0000000e+00,0.0000000e+00
1.3361694e+00,0.0000000e+00,0.0000000e+00
1.5774070e+00,0.0000000e+00,0.0000000e+00
1.8621986e+00,0.0000000e+00,0.0000000e+00
2.1984079e+00,0.0000000e+00,0.0000000e+00
2.5953176e+00,0.0000000e+00,0.0000000e+00
3.0000000e+00,0.0000000e+00,0.0000000e+00
3.6170540e+00,1.8003000e-06,4.8841671e-02
4.2700920e+00,1.8948600e-05,1.4795870e-01
5.0410328e+00,5.5411201e-05,2.3624409e-01
5.9511619e+00,9.0801303e-05,2.8540509e-01
7.0256095e+00,1.3970899e-04,3.3373354e-01
8.2940426e+00,2.8930799e-04,4.3970192e-01
1.0000000e+01,6.5269100e-04,5.7779203e-01
1.1318249e+01,1.0929300e-03,6.6698764e-01
1.3361693e+01,2.2793000e-03,7.8194895e-01
1.5774070e+01,5.3967801e-03,8.8197602e-01
1.8621986e+01,7.7988300e-03,9.0801672e-01
2.1984077e+01,9.7430097e-03,9.1905345e-01
2.5953175e+01,1.1315800e-02,9.2412430e-01
3.0000000e+01,1.2433400e-02,9.2596841e-01
3.5416325e+01,1.3370400e-02,9.2577215e-01
4.1810539e+01,1.3925500e-02,9.2348653e-01
4.9359188e+01,1.4029700e-02,9.1886305e-01
5.8270699e+01,1.3666400e-02,9.1151953e-01
6.8791138e+01,1.2935200e-02,9.0131809e-01
8.1210976e+01,1.1917500e-02,8.8777315e-01
1.0000000e+02,1.0404500e-02,8.6539557e-01
1.1318250e+02,9.4513902e-03,8.4887898e-01
1.3361693e+02,8.1926901e-03,8.2282587e-01
1.5774069e+02,7.0003900e-03,7.9206381e-01
1.8621985e+02,5.9056501e-03,7.5653200e-01
2.1984077e+02,4.9459301e-03,7.1721292e-01
2.5953177e+02,4.0925299e-03,6.7369678e-01
3.0000000e+02,3.4479899e-03,6.3352566e-01
3.6170541e+02,2.7377200e-03,5.7954779e-01
4.2700922e+02,2.2090599e-03,5.3062045e-01
5.0410324e+02,1.7577200e-03,4.8099569e-01
5.9511621e+02,1.3789200e-03,4.3179660e-01
7.0256097e+02,1.0655400e-03,3.8390981e-01
8.2940424e+02,8.0604799e-04,3.3729195e-01
1.0000000e+03,5.7253003e-04,2.8717252e-01
1.1559279e+03,4.2719601e-04,2.4990496e-01
1.3646240e+03,2.9998700e-04,2.1099002e-01
1.6109990e+03,2.0275101e-04,1.7468019e-01
1.9018555e+03,1.3752699e-04,1.4466285e-01
2.2452244e+03,9.2910603e-05,1.1944770e-01
2.6505867e+03,6.2943203e-05,9.8680583e-02
3.0000000e+03,4.6389901e-05,8.4930551e-02
3.6940818e+03,2.8626500e-05,6.6932692e-02
4.3610269e+03,1.9410300e-05,5.5233474e-02
5.1483853e+03,1.3228500e-05,4.5678458e-02
6.0778960e+03,9.1530601e-06,3.8050020e-02
7.1752246e+03,6.3986799e-06,3.1850706e-02
8.4706699e+03,4.4893100e-06,2.6704238e-02
1.0000000e+04,3.2053999e-06,2.2581609e-02
