E,<Daa>,Prec_Ratio
9.9999994e-02,0.0000000e+00,0.0000000e+00
1.1318249e-01,0.0000000e+00,0.0000000e+00
1.3361694e-01,0.0000000e+00,0.0000000e+00
1.5774070e-01,0.0000000e+00,0.0000000e+00
1.8621986e-01,0.0000000e+00,0.0000000e+00
2.1984078e-01,0.0000000e+00,0.0000000e+00
2.5953174e-01,0.0000000e+00,0.0000000e+00
3.0000001e-01,0.0000000e+00,0.0000000e+00
3.6170539e-01,0.0000000e+00,0.0000000e+00
4.2700922e-01,0.0000000e+00,0.0000000e+00
5.0410324e-01,0.0000000e+00,0.0000000e+00
5.9511620e-01,0.0000000e+00,0.0000000e+00
7.0256096e-01,0.0000000e+00,0.0000000e+00
8.2940429e-01,0.0000000e+00,0.0000000e+00
1.0000000e+00,0.0000000e+00,0.0000000e+00
1.1318250e+00,0.0000000e+00,0.0000000e+00
1.3361694e+00,0.0000000e+00,0.0000000e+00
1.5774070e+00,0.0000000e+00,0.0000000e+00
1.8621986e+00,0.0000000e+00,0.0000000e+00
2.1984079e+00,1.8638400e-09,0.0000000e+00
2.5953176e+00,7.4166100e-09,3.3958318e-03
3.0000000e+00,1.8251500e-08,5.1774840e-03
3.6170540e+00,6.4413499e-08,9.3159304e-03
4.2700920e+00,2.3048599e-07,1.6903989e-02
5.0410328e+00,8.3941297e-05,2.8580820e-01
5.9511619e+00,3.7438399e-03,8.9230803e-01
7.0256095e+00,6.1451602e-03,9.2521319e-01
8.2940426e+00,8.2442397e-03,9.3837186e-01
1.0000000e+01,1.0331400e-02,9.4557257e-01
1.1318249e+01,1.1493600e-02,9.4787820e-01
1.3361693e+01,1.2668400e-02,9.4870892e-01
1.5774070e+01,1.3335300e-02,9.4734160e-01
1.8621986e+01,1.3442600e-02,9.4375856e-01
2.1984077e+01,1.3032600e-02,9.3780177e-01
2.5953175e+01,1.2184400e-02,9.2902481e-01
3.0000000e+01,1.1187600e-02,9.1861293e-01
3.5416325e+01,9.8746698e-03,9.0287136e-01
4.1810539e+01,8.4965397e-03,8.8220701e-01
4.9359188e+01,7.1511101e-03,8.5567673e-01
5.8270699e+01,5.9058298e-03,8.2242386e-01
6.8791138e+01,4.7995900e-03,7.8190672e-01
8.1210976e+01,3.8489001e-03,7.3420440e-01
1.0000000e+02,2.8756999e-03,6.6578503e-01
1.1318250e+02,2.4034199e-03,6.2192573e-01
1.3361693e+02,1.8757000e-03,5.6113964e-01
1.5774069e+02,1.4320400e-03,4.9755773e-01
1.8621985e+02,1.0672000e-03,4.3337597e-01
2.1984077e+02,7.7392103e-04,3.7066634e-01
2.5953177e+02,5.4519897e-04,3.1141739e-01
3.0000000e+02,3.8685399e-04,2.6218424e-01
3.6170541e+02,2.3843801e-04,2.0530475e-01
4.2700922e+02,1.4920600e-04,1.6183955e-01
5.0410324e+02,9.0840302e-05,1.2572927e-01
5.9511621e+02,5.5414701e-05,9.7696494e-02
7.0256097e+02,3.3213299e-05,7.5251485e-02
8.2940424e+02,1.9707200e-05,5.7685724e-02
1.0000000e+03,1.1099300e-05,4.3071897e-02
1.1559279e+03,6.9265202e-06,3.3911139e-02
1.3646240e+03,4.0937098e-06,2.5980383e-02
1.6109990e+03,2.4055000e-06,1.9856663e-02
1.9018555e+03,1.4024700e-06,1.5122962e-02
2.2452244e+03,8.1182498e-07,1.1479035e-02
2.6505867e+03,4.6667901e-07,8.6827689e-03
3.0000000e+03,3.0938500e-07,7.0556814e-03
3.6940818e+03,1.5567500e-07,4.9829342e-03
4.3610269e+03,8.9787399e-08,3.7634927e-03
5.1483853e+03,5.0741800e-08,2.8030434e-03
6.0778960e+03,2.9163701e-08,0.0000000e+00
7.1752246e+03,1.6677101e-08,0.0000000e+00
8.4706699e+03,9.7947002e-09,0.0000000e+00
1.0000000e+04,5.5449898e-09,0.0000000e+00
