E,<Daa>,Prec_Ratio
9.9999994e-02,0.0000000e+00,0.0000000e+00
1.1318249e-01,0.0000000e+00,0.0000000e+00
1.3361694e-01,0.0000000e+00,0.0000000e+00
1.5774070e-01,0.0000000e+00,0.0000000e+00
1.8621986e-01,0.0000000e+00,0.0000000e+00
2.1984078e-01,0.0000000e+00,0.0000000e+00
2.5953174e-01,0.0000000e+00,0.0000000e+00
3.0000001e-01,0.0000000e+00,0.0000000e+00
3.6170539e-01,0.0000000e+00,0.0000000e+00
4.2700922e-01,0.0000000e+00,0.0000000e+00
5.0410324e-01,0.0000000e+00,0.0000000e+00
5.9511620e-01,0.0000000e+00,0.0000000e+00
7.0256096e-01,0.0000000e+00,0.0000000e+00
8.2940429e-01,0.0000000e+00,0.0000000e+00
1.0000000e+00,0.0000000e+00,0.0000000e+00
1.1318250e+00,0.0000000e+00,0.0000000e+00
1.3361694e+00,0.0000000e+00,0.0000000e+00
1.5774070e+00,0.0000000e+00,0.0000000e+00
1.8621986e+00,0.0000000e+00,0.0000000e+00
2.1984079e+00,1.7491800e-09,0.0000000e+00
2.5953176e+00,9.0668504e-09,3.7638852e-03
3.0000000e+00,2.1811100e-08,5.6648595e-03
3.6170540e+00,6.7856099e-08,9.5619693e-03
4.2700920e+00,2.1231800e-07,1.6226079e-02
5.0410328e+00,6.6301698e-05,2.5663860e-01
5.9511619e+00,2.5902200e-03,8.5359463e-01
7.0256095e+00,4.2465199e-03,8.9635873e-01
8.2940426e+00,5.7528298e-03,9.1469780e-01
1.0000000e+01,7.3162699e-03,9.2536172e-01
1.1318249e+01,8.2330899e-03,9.2917529e-01
1.3361693e+01,9.2366999e-03,9.3138689e-01
1.5774070e+01,9.9405004e-03,9.3100361e-01
1.8621986e+01,1.0296700e-02,9.2821080e-01
2.1984077e+01,1.0328200e-02,9.2317336e-01
2.5953175e+01,1.0059300e-02,9.1570426e-01
3.0000000e+01,9.6313199e-03,9.0707843e-01
3.5416325e+01,8.9829303e-03,8.9457211e-01
4.1810539e+01,8.2265604e-03,8.7895819e-01
4.9359188e+01,7.4177701e-03,8.5990910e-01
5.8270699e+01,6.6009299e-03,8.3713084e-01
6.8791138e+01,5.8090799e-03,8.1042738e-01
8.1210976e+01,5.0665499e-03,7.7982054e-01
1.0000000e+02,4.2290902e-03,7.3645395e-01
1.1318250e+02,3.7847101e-03,7.0844639e-01
1.3361693e+02,3.2465800e-03,6.6868808e-01
1.5774069e+02,2.7511001e-03,6.2562557e-01
1.8621985e+02,2.2899399e-03,5.7888716e-01
2.1984077e+02,1.8594600e-03,5.2813295e-01
2.5953177e+02,1.4655400e-03,4.7383803e-01
3.0000000e+02,1.1504900e-03,4.2329304e-01
3.6170541e+02,8.0637902e-04,3.5733366e-01
4.2700922e+02,5.6520099e-04,3.0075799e-01
5.0410324e+02,3.8425799e-04,2.4885293e-01
5.9511621e+02,2.5862400e-04,2.0447530e-01
7.0256097e+02,1.6992399e-04,1.6586552e-01
8.2940424e+02,1.0958700e-04,1.3321743e-01
1.0000000e+03,6.6810899e-05,1.0395744e-01
1.1559279e+03,4.4186800e-05,8.4515805e-02
1.3646240e+03,2.7620799e-05,6.6780294e-02
1.6109990e+03,1.7044600e-05,5.2430496e-02
1.9018555e+03,1.0370000e-05,4.0876669e-02
2.2452244e+03,6.2259501e-06,3.1660213e-02
2.6505867e+03,3.6911199e-06,2.4368643e-02
3.0000000e+03,2.4942999e-06,2.0026299e-02
3.6940818e+03,1.2876200e-06,1.4380211e-02
4.3610269e+03,7.5430199e-07,1.0999023e-02
5.1483853e+03,4.3154199e-07,8.3105356e-03
6.0778960e+03,2.5006500e-07,6.3149755e-03
7.1752246e+03,1.4375000e-07,4.7732493e-03
8.4706699e+03,8.4628802e-08,3.6440387e-03
1.0000000e+04,4.7932499e-08,0.0000000e+00
