E,<Daa>,Prec_Ratio
9.9999994e-02,0.0000000e+00,0.0000000e+00
1.1318249e-01,0.0000000e+00,0.0000000e+00
1.3361694e-01,0.0000000e+00,0.0000000e+00
1.5774070e-01,0.0000000e+00,0.0000000e+00
1.8621986e-01,0.0000000e+00,0.0000000e+00
2.1984078e-01,0.0000000e+00,0.0000000e+00
2.5953174e-01,0.0000000e+00,0.0000000e+00
3.0000001e-01,0.0000000e+00,0.0000000e+00
3.6170539e-01,0.0000000e+00,0.0000000e+00
4.2700922e-01,0.0000000e+00,0.0000000e+00
5.0410324e-01,0.0000000e+00,0.0000000e+00
5.9511620e-01,0.0000000e+00,0.0000000e+00
7.0256096e-01,0.0000000e+00,0.0000000e+00
8.2940429e-01,0.0000000e+00,0.0000000e+00
1.0000000e+00,0.0000000e+00,0.0000000e+00
1.1318250e+00,0.0000000e+00,0.0000000e+00
1.3361694e+00,0.0000000e+00,0.0000000e+00
1.5774070e+00,0.0000000e+00,0.0000000e+00
1.8621986e+00,0.0000000e+00,0.0000000e+00
2.1984079e+00,2.0650599e-09,4.0231903e-03
2.5953176e+00,8.8292298e-09,8.0351280e-03
3.0000000e+00,2.1583899e-08,1.2124630e-02
3.6170540e+00,7.4149703e-08,2.1421588e-02
4.2700920e+00,2.6255699e-07,3.8529052e-02
5.0410328e+00,9.5390697e-04,9.1278793e-01
5.9511619e+00,1.4609500e-02,9.9307615e-01
7.0256095e+00,2.2472899e-02,9.9510365e-01
8.2940426e+00,2.9380800e-02,9.9593373e-01
1.0000000e+01,3.5754800e-02,9.9633804e-01
1.1318249e+01,3.9214399e-02,9.9645400e-01
1.3361693e+01,4.2391598e-02,9.9644635e-01
1.5774070e+01,4.3869700e-02,9.9628253e-01
1.8621986e+01,4.3612499e-02,9.9595512e-01
2.1984077e+01,4.1815098e-02,9.9544092e-01
2.5953175e+01,3.8837198e-02,9.9470124e-01
3.0000000e+01,3.5603199e-02,9.9382744e-01
3.5416325e+01,3.1541999e-02,9.9249901e-01
4.1810539e+01,2.7412301e-02,9.9072483e-01
4.9359188e+01,2.3455700e-02,9.8837674e-01
5.8270699e+01,1.9815801e-02,9.8528594e-01
6.8791138e+01,1.6570300e-02,9.8124081e-01
8.1210976e+01,1.3744400e-02,9.7597943e-01
1.0000000e+02,1.0785000e-02,9.6719715e-01
1.1318250e+02,9.3082003e-03,9.6055482e-01
1.3361693e+02,7.6032602e-03,9.4953124e-01
1.5774069e+02,6.1157900e-03,9.3497788e-01
1.8621985e+02,4.8324200e-03,9.1564402e-01
2.1984077e+02,3.7212200e-03,8.8937860e-01
2.5953177e+02,2.7924399e-03,8.5407220e-01
3.0000000e+02,2.0960199e-03,8.1204379e-01
3.6170541e+02,1.3915400e-03,7.4075846e-01
4.2700922e+02,9.1430498e-04,6.5747610e-01
5.0410324e+02,5.9087999e-04,5.6581098e-01
5.9511621e+02,3.7565400e-04,4.7320555e-01
7.0256097e+02,2.3734200e-04,3.8817334e-01
8.2940424e+02,1.4755499e-04,3.1273769e-01
1.0000000e+03,8.4570798e-05,2.4077192e-01
1.1559279e+03,5.4588800e-05,1.9520951e-01
1.3646240e+03,3.3213200e-05,1.5339445e-01
1.6109990e+03,1.9460600e-05,1.1811275e-01
1.9018555e+03,1.1584100e-05,9.1491334e-02
2.2452244e+03,6.6187699e-06,6.9384178e-02
2.6505867e+03,3.8536100e-06,5.3059233e-02
3.0000000e+03,2.5188101e-06,4.2955096e-02
3.6940818e+03,1.2692100e-06,3.0537671e-02
4.3610269e+03,7.1900598e-07,2.3003952e-02
5.1483853e+03,4.0409600e-07,1.7254286e-02
6.0778960e+03,2.2605801e-07,1.2906815e-02
7.1752246e+03,1.2927001e-07,9.7567584e-03
8.4706699e+03,7.3736402e-08,7.3614116e-03
1.0000000e+04,4.0375600e-08,5.4350113e-03
