E,<Daa>,Prec_Ratio
9.9999994e-02,0.0000000e+00,0.0000000e+00
1.1318249e-01,0.0000000e+00,0.0000000e+00
1.3361694e-01,0.0000000e+00,0.0000000e+00
1.5774070e-01,0.0000000e+00,0.0000000e+00
1.8621986e-01,0.0000000e+00,0.0000000e+00
2.1984078e-01,0.0000000e+00,0.0000000e+00
2.5953174e-01,0.0000000e+00,0.0000000e+00
3.0000001e-01,0.0000000e+00,0.0000000e+00
3.6170539e-01,0.0000000e+00,0.0000000e+00
4.2700922e-01,0.0000000e+00,0.0000000e+00
5.0410324e-01,0.0000000e+00,0.0000000e+00
5.9511620e-01,0.0000000e+00,0.0000000e+00
7.0256096e-01,0.0000000e+00,0.0000000e+00
8.2940429e-01,0.0000000e+00,0.0000000e+00
1.0000000e+00,0.0000000e+00,0.0000000e+00
1.1318250e+00,0.0000000e+00,0.0000000e+00
1.3361694e+00,0.0000000e+00,0.0000000e+00
1.5774070e+00,0.0000000e+00,0.0000000e+00
1.8621986e+00,0.0000000e+00,0.0000000e+00
2.1984079e+00,5.0563398e-09,6.3292995e-03
2.5953176e+00,2.5461800e-08,1.3648587e-02
3.0000000e+00,7.6627302e-08,2.2801745e-02
3.6170540e+00,3.3289101e-07,4.5124011e-02
4.2700920e+00,1.4833900e-06,9.0328675e-02
5.0410328e+00,2.5747200e-03,9.6515187e-01
5.9511619e+00,2.0753700e-02,9.9511263e-01
7.0256095e+00,2.7942900e-02,9.9605710e-01
8.2940426e+00,3.3159100e-02,9.9639483e-01
1.0000000e+01,3.6986601e-02,9.9645942e-01
1.1318249e+01,3.8207099e-02,9.9636096e-01
1.3361693e+01,3.8051002e-02,9.9604312e-01
1.5774070e+01,3.5916600e-02,9.9546434e-01
1.8621986e+01,3.2184500e-02,9.9452935e-01
2.1984077e+01,2.7452899e-02,9.9307780e-01
2.5953175e+01,2.2372400e-02,9.9084920e-01
3.0000000e+01,1.8093999e-02,9.8795027e-01
3.5416325e+01,1.3721000e-02,9.8297752e-01
4.1810539e+01,1.0097500e-02,9.7534227e-01
4.9359188e+01,7.2570499e-03,9.6368580e-01
5.8270699e+01,5.1247999e-03,9.4612668e-01
6.8791138e+01,3.5764801e-03,9.2029711e-01
8.1210976e+01,2.4790100e-03,8.8364646e-01
1.0000000e+02,1.5601900e-03,8.1944246e-01
1.1318250e+02,1.1851200e-03,7.7142416e-01
1.3361693e+02,8.0874498e-04,6.9461081e-01
1.5774069e+02,5.2446901e-04,6.0005157e-01
1.8621985e+02,3.4469701e-04,5.0718530e-01
2.1984077e+02,2.2839100e-04,4.2213488e-01
2.5953177e+02,1.5164699e-04,3.4755662e-01
3.0000000e+02,1.0568700e-04,2.9112822e-01
3.6170541e+02,6.5380002e-05,2.2899112e-01
4.2700922e+02,4.1780899e-05,1.8266147e-01
5.0410324e+02,2.5927100e-05,1.4343768e-01
5.9511621e+02,1.5856000e-05,1.1173226e-01
7.0256097e+02,9.7388302e-06,8.7181428e-02
8.2940424e+02,5.9948602e-06,6.8102610e-02
1.0000000e+03,3.4793900e-06,5.1647813e-02
1.1559279e+03,2.2837701e-06,4.1713047e-02
1.3646240e+03,1.4097600e-06,3.2671620e-02
1.6109990e+03,8.6958602e-07,2.5592681e-02
1.9018555e+03,5.3602503e-07,2.0049087e-02
2.2452244e+03,3.3011401e-07,1.5704218e-02
2.6505867e+03,2.0306800e-07,1.2296229e-02
3.0000000e+03,1.4123800e-07,1.0242189e-02
3.6940818e+03,7.6639203e-08,7.5274573e-03
4.3610269e+03,4.7014201e-08,5.8816755e-03
5.1483853e+03,2.8837700e-08,4.5908063e-03
6.0778960e+03,1.7680900e-08,3.5760902e-03
7.1752246e+03,1.0842900e-08,2.7776651e-03
8.4706699e+03,6.6528099e-09,0.0000000e+00
1.0000000e+04,4.0862398e-09,0.0000000e+00
