E,<Daa>,Prec_Ratio
9.9999994e-02,0.0000000e+00,0.0000000e+00
1.1318249e-01,0.0000000e+00,0.0000000e+00
1.3361694e-01,0.0000000e+00,0.0000000e+00
1.5774070e-01,0.0000000e+00,0.0000000e+00
1.8621986e-01,0.0000000e+00,0.0000000e+00
2.1984078e-01,0.0000000e+00,0.0000000e+00
2.5953174e-01,0.0000000e+00,0.0000000e+00
3.0000001e-01,0.0000000e+00,0.0000000e+00
3.6170539e-01,0.0000000e+00,0.0000000e+00
4.2700922e-01,0.0000000e+00,0.0000000e+00
5.0410324e-01,0.0000000e+00,0.0000000e+00
5.9511620e-01,0.0000000e+00,0.0000000e+00
7.0256096e-01,0.0000000e+00,0.0000000e+00
8.2940429e-01,0.0000000e+00,0.0000000e+00
1.0000000e+00,0.0000000e+00,0.0000000e+00
1.1318250e+00,0.0000000e+00,0.0000000e+00
1.3361694e+00,0.0000000e+00,0.0000000e+00
1.5774070e+00,0.0000000e+00,0.0000000e+00
1.8621986e+00,0.0000000e+00,0.0000000e+00
2.1984079e+00,0.0000000e+00,0.0000000e+00
2.5953176e+00,7.6593801e-12,0.0000000e+00
3.0000000e+00,3.0178800e-08,6.6712769e-03
3.6170540e+00,3.6059200e-07,2.2005354e-02
4.2700920e+00,1.4280899e-06,4.1828118e-02
5.0410328e+00,4.8912898e-06,7.3685040e-02
5.9511619e+00,1.8294000e-05,1.3449460e-01
7.0256095e+00,5.5278302e-03,9.1777048e-01
8.2940426e+00,1.7941400e-02,9.7037065e-01
1.0000000e+01,2.7825000e-02,9.7882837e-01
1.1318249e+01,3.3505801e-02,9.8126789e-01
1.3361693e+01,4.0169701e-02,9.8303215e-01
1.5774070e+01,4.5423198e-02,9.8373636e-01
1.8621986e+01,4.8908599e-02,9.8365603e-01
2.1984077e+01,5.0363299e-02,9.8285459e-01
2.5953175e+01,4.9734801e-02,9.8127974e-01
3.0000000e+01,4.7679201e-02,9.7918198e-01
3.5416325e+01,4.3974198e-02,9.7576927e-01
4.1810539e+01,3.9306000e-02,9.7099045e-01
4.9359188e+01,3.4176402e-02,9.6443641e-01
5.8270699e+01,2.9009100e-02,9.5555987e-01
6.8791138e+01,2.4117401e-02,9.4365966e-01
8.1210976e+01,1.9693000e-02,9.2785810e-01
1.0000000e+02,1.4947800e-02,9.0096470e-01
1.1318250e+02,1.2564100e-02,8.8042679e-01
1.3361693e+02,9.8614302e-03,8.4678180e-01
1.5774069e+02,7.6721101e-03,8.0564869e-01
1.8621985e+02,5.8991499e-03,7.5634861e-01
2.1984077e+02,4.4579399e-03,6.9829682e-01
2.5953177e+02,3.3097800e-03,6.3272367e-01
3.0000000e+02,2.5104501e-03,5.7090871e-01
3.6170541e+02,1.7100699e-03,4.8785179e-01
4.2700922e+02,1.1794800e-03,4.1424220e-01
5.0410324e+02,7.8612199e-04,3.4366480e-01
5.9511621e+02,5.0353998e-04,2.7830736e-01
7.0256097e+02,3.1027399e-04,2.2033670e-01
8.2940424e+02,1.8909499e-04,1.7294084e-01
1.0000000e+03,1.0725300e-04,1.3071818e-01
1.1559279e+03,6.8724097e-05,1.0481189e-01
1.3646240e+03,4.1059498e-05,8.1107402e-02
1.6109990e+03,2.4390500e-05,6.2552113e-02
1.9018555e+03,1.4416900e-05,4.8107433e-02
2.2452244e+03,8.4970798e-06,3.6937848e-02
2.6505867e+03,4.9994101e-06,2.8333566e-02
3.0000000e+03,3.3636200e-06,2.3239124e-02
3.6940818e+03,1.7287900e-06,1.6656376e-02
4.3610269e+03,1.0183400e-06,1.2778704e-02
5.1483853e+03,6.0136603e-07,9.8133284e-03
6.0778960e+03,3.5642699e-07,7.5462638e-03
7.1752246e+03,2.1223600e-07,5.8118443e-03
8.4706699e+03,1.2712800e-07,4.4835646e-03
1.0000000e+04,7.6672400e-08,3.4635110e-03
