E,<Daa>,Prec_Ratio
9.9999994e-02,0.0000000e+00,0.0000000e+00
1.1318249e-01,0.0000000e+00,0.0000000e+00
1.3361694e-01,0.0000000e+00,0.0000000e+00
1.5774070e-01,0.0000000e+00,0.0000000e+00
1.8621986e-01,0.0000000e+00,0.0000000e+00
2.1984078e-01,0.0000000e+00,0.0000000e+00
2.5953174e-01,0.0000000e+00,0.0000000e+00
3.0000001e-01,0.0000000e+00,0.0000000e+00
3.6170539e-01,0.0000000e+00,0.0000000e+00
4.2700922e-01,0.0000000e+00,0.0000000e+00
5.0410324e-01,0.0000000e+00,0.0000000e+00
5.9511620e-01,0.0000000e+00,0.0000000e+00
7.0256096e-01,0.0000000e+00,0.0000000e+00
8.2940429e-01,0.0000000e+00,0.0000000e+00
1.0000000e+00,0.0000000e+00,0.0000000e+00
1.1318250e+00,0.0000000e+00,0.0000000e+00
1.3361694e+00,0.0000000e+00,0.0000000e+00
1.5774070e+00,0.0000000e+00,0.0000000e+00
1.8621986e+00,0.0000000e+00,0.0000000e+00
2.1984079e+00,0.0000000e+00,0.0000000e+00
2.5953176e+00,8.7410799e-12,0.0000000e+00
3.0000000e+00,1.4496701e-09,0.0000000e+00
3.6170540e+00,5.7537100e-09,0.0000000e+00
4.2700920e+00,1.8014200e-08,4.7081542e-03
5.0410328e+00,6.5328400e-08,8.6424506e-03
5.9511619e+00,2.8366799e-07,1.7279441e-02
7.0256095e+00,2.3131201e-03,8.2919763e-01
8.2940426e+00,6.8420302e-03,9.2696432e-01
1.0000000e+01,9.8986505e-03,9.4337189e-01
1.1318249e+01,1.1598000e-02,9.4831519e-01
1.3361693e+01,1.3421400e-02,9.5140092e-01
1.5774070e+01,1.4648200e-02,9.5175907e-01
1.8621986e+01,1.5139100e-02,9.4963981e-01
2.1984077e+01,1.4871600e-02,9.4493130e-01
2.5953175e+01,1.3915700e-02,9.3711914e-01
3.0000000e+01,1.2652100e-02,9.2712456e-01
3.5416325e+01,1.0905700e-02,9.1097320e-01
4.1810539e+01,9.0500899e-03,8.8835076e-01
4.9359188e+01,7.2648702e-03,8.5751324e-01
5.8270699e+01,5.6693298e-03,8.1679306e-01
6.8791138e+01,4.3221102e-03,7.6517706e-01
8.1210976e+01,3.2339899e-03,7.0304443e-01
1.0000000e+02,2.2038100e-03,6.1399373e-01
1.1318250e+02,1.7409700e-03,5.5820984e-01
1.3361693e+02,1.2622400e-03,4.8433600e-01
1.5774069e+02,9.1185397e-04,4.1510816e-01
1.8621985e+02,6.4112298e-04,3.4900276e-01
2.1984077e+02,4.3755799e-04,2.8795165e-01
2.5953177e+02,2.9426199e-04,2.3507101e-01
3.0000000e+02,2.0498500e-04,1.9512338e-01
3.6170541e+02,1.2600000e-04,1.5172099e-01
4.2700922e+02,7.8655503e-05,1.1898593e-01
5.0410324e+02,4.7384099e-05,9.1678935e-02
5.9511621e+02,2.8411599e-05,7.0475714e-02
7.0256097e+02,1.6840801e-05,5.3890216e-02
8.2940424e+02,1.0145700e-05,4.1564197e-02
1.0000000e+03,5.7246798e-06,3.1027297e-02
1.1559279e+03,3.6788299e-06,2.4768932e-02
1.3646240e+03,2.2425800e-06,1.9258380e-02
1.6109990e+03,1.3361200e-06,1.4812809e-02
1.9018555e+03,8.1087200e-07,1.1503623e-02
2.2452244e+03,4.9001898e-07,8.9166724e-03
2.6505867e+03,2.9469200e-07,6.8940211e-03
3.0000000e+03,1.9769500e-07,5.6315658e-03
3.6940818e+03,1.0489400e-07,4.0781454e-03
4.3610269e+03,6.2041998e-08,3.1129882e-03
5.1483853e+03,3.7449599e-08,0.0000000e+00
6.0778960e+03,2.1971800e-08,0.0000000e+00
7.1752246e+03,1.3060200e-08,0.0000000e+00
8.4706699e+03,7.7510300e-09,0.0000000e+00
1.0000000e+04,4.7021498e-09,0.0000000e+00
