E,<Daa>,Prec_Ratio
9.9999994e-02,0.0000000e+00,0.0000000e+00
1.1318249e-01,0.0000000e+00,0.0000000e+00
1.3361694e-01,0.0000000e+00,0.0000000e+00
1.5774070e-01,0.0000000e+00,0.0000000e+00
1.8621986e-01,0.0000000e+00,0.0000000e+00
2.1984078e-01,0.0000000e+00,0.0000000e+00
2.5953174e-01,0.0000000e+00,0.0000000e+00
3.0000001e-01,0.0000000e+00,0.0000000e+00
3.6170539e-01,0.0000000e+00,0.0000000e+00
4.2700922e-01,0.0000000e+00,0.0000000e+00
5.0410324e-01,0.0000000e+00,0.0000000e+00
5.9511620e-01,0.0000000e+00,0.0000000e+00
7.0256096e-01,0.0000000e+00,0.0000000e+00
8.2940429e-01,0.0000000e+00,0.0000000e+00
1.0000000e+00,0.0000000e+00,0.0000000e+00
1.1318250e+00,0.0000000e+00,0.0000000e+00
1.3361694e+00,0.0000000e+00,0.0000000e+00
1.5774070e+00,0.0000000e+00,0.0000000e+00
1.8621986e+00,0.0000000e+00,0.0000000e+00
2.1984079e+00,0.0000000e+00,0.0000000e+00
2.5953176e+00,2.7797100e-11,0.0000000e+00
3.0000000e+00,9.4524701e-08,2.5310233e-02
3.6170540e+00,1.1301100e-06,8.2323500e-02
4.2700920e+00,3.9100701e-06,1.4441659e-01
5.0410328e+00,2.4047000e-03,9.6280980e-01
5.9511619e+00,1.5369300e-02,9.9341544e-01
7.0256095e+00,9.5494702e-02,9.9884196e-01
8.2940426e+00,1.8155000e-01,9.9933894e-01
1.0000000e+01,2.5349501e-01,9.9948131e-01
1.1318249e+01,2.9634300e-01,9.9952883e-01
1.3361693e+01,3.4532300e-01,9.9956194e-01
1.5774070e+01,3.8429999e-01,9.9957376e-01
1.8621986e+01,4.0952700e-01,9.9956716e-01
2.1984077e+01,4.1955999e-01,9.9954312e-01
2.5953175e+01,4.1423401e-01,9.9950001e-01
3.0000000e+01,3.9837599e-01,9.9944419e-01
3.5416325e+01,3.7017801e-01,9.9935496e-01
4.1810539e+01,3.3479199e-01,9.9923184e-01
4.9359188e+01,2.9584700e-01,9.9906514e-01
5.8270699e+01,2.5635099e-01,9.9884166e-01
6.8791138e+01,2.1846500e-01,9.9854350e-01
8.1210976e+01,1.8360300e-01,9.9814699e-01
1.0000000e+02,1.4532299e-01,9.9746300e-01
1.1318250e+02,1.2561400e-01,9.9692772e-01
1.3361693e+02,1.0270900e-01,9.9601631e-01
1.5774069e+02,8.3515897e-02,9.9482390e-01
1.8621985e+02,6.7346603e-02,9.9324472e-01
2.1984077e+02,5.3374398e-02,9.9106897e-01
2.5953177e+02,4.1386500e-02,9.8799186e-01
3.0000000e+02,3.2393999e-02,9.8416562e-01
3.6170541e+02,2.2701601e-02,9.7665326e-01
4.2700922e+02,1.5855700e-02,9.6592997e-01
5.0410324e+02,1.0550700e-02,9.4852188e-01
5.9511621e+02,6.7310901e-03,9.2048147e-01
7.0256097e+02,4.2166999e-03,8.7827111e-01
8.2940424e+02,2.6045800e-03,8.1804744e-01
1.0000000e+03,1.4903100e-03,7.2669167e-01
1.1559279e+03,9.5696200e-04,6.4177181e-01
1.3646240e+03,5.6949101e-04,5.3738007e-01
1.6109990e+03,3.3520701e-04,4.3591760e-01
1.9018555e+03,1.9529200e-04,3.4545388e-01
2.2452244e+03,1.1292000e-04,2.6958150e-01
2.6505867e+03,6.4716798e-05,2.0790691e-01
3.0000000e+03,4.2544601e-05,1.7034015e-01
3.6940818e+03,2.0889500e-05,1.2091100e-01
4.3610269e+03,1.1787300e-05,9.1490250e-02
5.1483853e+03,6.6300399e-06,6.8986999e-02
6.0778960e+03,3.7218699e-06,5.1894465e-02
7.1752246e+03,2.0895600e-06,3.8997838e-02
8.4706699e+03,1.1682400e-06,2.9222141e-02
1.0000000e+04,6.5552200e-07,2.1922598e-02
