E,<Daa>,Prec_Ratio
9.9999994e-02,0.0000000e+00,0.0000000e+00
1.1318249e-01,0.0000000e+00,0.0000000e+00
1.3361694e-01,0.0000000e+00,0.0000000e+00
1.5774070e-01,0.0000000e+00,0.0000000e+00
1.8621986e-01,0.0000000e+00,0.0000000e+00
2.1984078e-01,0.0000000e+00,0.0000000e+00
2.5953174e-01,0.0000000e+00,0.0000000e+00
3.0000001e-01,0.0000000e+00,0.0000000e+00
3.6170539e-01,0.0000000e+00,0.0000000e+00
4.2700922e-01,0.0000000e+00,0.0000000e+00
5.0410324e-01,0.0000000e+00,0.0000000e+00
5.9511620e-01,0.0000000e+00,0.0000000e+00
7.0256096e-01,0.0000000e+00,0.0000000e+00
8.2940429e-01,3.5951100e-10,0.0000000e+00
1.0000000e+00,5.5686198e-09,8.0901294e-03
1.1318250e+00,1.3165300e-08,1.2065991e-02
1.3361694e+00,3.4114901e-08,1.8617811e-02
1.5774070e+00,9.4063701e-08,2.9588931e-02
1.8621986e+00,2.9913201e-07,5.0364492e-02
2.1984079e+00,2.6614000e-03,9.7726657e-01
2.5953176e+00,7.4606100e-03,9.9102732e-01
3.0000000e+00,1.0597900e-02,9.9319308e-01
3.6170540e+00,1.4464300e-02,9.9451881e-01
4.2700920e+00,1.7656401e-02,9.9512190e-01
5.0410328e+00,2.0271599e-02,9.9538710e-01
5.9511619e+00,2.2395900e-02,9.9546884e-01
7.0256095e+00,2.3782499e-02,9.9537161e-01
8.2940426e+00,2.4453901e-02,9.9511980e-01
1.0000000e+01,2.4405001e-02,9.9464715e-01
1.1318249e+01,2.3980100e-02,9.9421862e-01
1.3361693e+01,2.3045201e-02,9.9348896e-01
1.5774070e+01,2.1797201e-02,9.9255546e-01
1.8621986e+01,2.0366199e-02,9.9139120e-01
2.1984077e+01,1.8839199e-02,9.8995518e-01
2.5953175e+01,1.7292000e-02,9.8820294e-01
3.0000000e+01,1.5968099e-02,9.8637515e-01
3.5416325e+01,1.4518900e-02,9.8389294e-01
4.1810539e+01,1.3174300e-02,9.8095501e-01
4.9359188e+01,1.1951100e-02,9.7752259e-01
5.8270699e+01,1.0841000e-02,9.7353390e-01
6.8791138e+01,9.7831097e-03,9.6876713e-01
8.1210976e+01,8.7467199e-03,9.6293118e-01
1.0000000e+02,7.4454201e-03,9.5339486e-01
1.1318250e+02,6.6494700e-03,9.4591573e-01
1.3361693e+02,5.6049698e-03,9.3313392e-01
1.5774069e+02,4.5752102e-03,9.1553270e-01
1.8621985e+02,3.6357699e-03,8.9184807e-01
2.1984077e+02,2.7932699e-03,8.5943495e-01
2.5953177e+02,2.1094601e-03,8.1809919e-01
3.0000000e+02,1.6523700e-03,7.7631091e-01
3.6170541e+02,1.1637000e-03,7.0908621e-01
4.2700922e+02,8.4171299e-04,6.4145468e-01
5.0410324e+02,6.0309202e-04,5.6985508e-01
5.9511621e+02,4.2499299e-04,4.9650443e-01
7.0256097e+02,2.9441001e-04,4.2492769e-01
8.2940424e+02,2.0054200e-04,3.5806457e-01
1.0000000e+03,1.2677500e-04,2.8978022e-01
1.1559279e+03,8.8493798e-05,2.4458090e-01
1.3646240e+03,5.7372901e-05,1.9882322e-01
1.6109990e+03,3.6618501e-05,1.6004965e-01
1.9018555e+03,2.3367900e-05,1.2859452e-01
2.2452244e+03,1.4677900e-05,1.0239621e-01
2.6505867e+03,8.9781697e-06,8.0399183e-02
3.0000000e+03,6.2581098e-06,6.7276787e-02
3.6940818e+03,3.3331901e-06,4.9252698e-02
4.3610269e+03,2.0294499e-06,3.8501458e-02
5.1483853e+03,1.2234300e-06,2.9936184e-02
6.0778960e+03,7.3082498e-07,2.3162273e-02
7.1752246e+03,4.3289299e-07,1.7839725e-02
8.4706699e+03,2.5430501e-07,1.3678742e-02
1.0000000e+04,1.4818001e-07,1.0441147e-02
