E,<Daa>,Prec_Ratio
9.9999994e-02,0.0000000e+00,0.0000000e+00
1.1318249e-01,0.0000000e+00,0.0000000e+00
1.3361694e-01,0.0000000e+00,0.0000000e+00
1.5774070e-01,0.0000000e+00,0.0000000e+00
1.8621986e-01,0.0000000e+00,0.0000000e+00
2.1984078e-01,0.0000000e+00,0.0000000e+00
2.5953174e-01,0.0000000e+00,0.0000000e+00
3.0000001e-01,0.0000000e+00,0.0000000e+00
3.6170539e-01,0.0000000e+00,0.0000000e+00
4.2700922e-01,0.0000000e+00,0.0000000e+00
5.0410324e-01,0.0000000e+00,0.0000000e+00
5.9511620e-01,0.0000000e+00,0.0000000e+00
7.0256096e-01,0.0000000e+00,0.0000000e+00
8.2940429e-01,0.0000000e+00,0.0000000e+00
1.0000000e+00,3.2884001e-10,0.0000000e+00
1.1318250e+00,2.8286100e-09,5.5787926e-03
1.3361694e+00,1.1384600e-08,1.0766290e-02
1.5774070e+00,2.9712499e-08,1.6678050e-02
1.8621986e+00,8.0683400e-08,2.6316306e-02
2.1984079e+00,2.5080601e-07,4.4322998e-02
2.5953176e+00,1.9846200e-03,9.6734578e-01
3.0000000e+00,6.3331900e-03,9.8867851e-01
3.6170540e+00,1.0714000e-02,9.9261906e-01
4.2700920e+00,1.4187800e-02,9.9393895e-01
5.0410328e+00,1.7292401e-02,9.9459810e-01
5.9511619e+00,2.0041900e-02,9.9494022e-01
7.0256095e+00,2.2180500e-02,9.9503953e-01
8.2940426e+00,2.3652000e-02,9.9495545e-01
1.0000000e+01,2.4454599e-02,9.9465793e-01
1.1318249e+01,2.4488499e-02,9.9433774e-01
1.3361693e+01,2.4041301e-02,9.9375649e-01
1.5774070e+01,2.3127500e-02,9.9297966e-01
1.8621986e+01,2.1888500e-02,9.9198353e-01
2.1984077e+01,2.0448700e-02,9.9073604e-01
2.5953175e+01,1.8908899e-02,9.8919719e-01
3.0000000e+01,1.7537201e-02,9.8757403e-01
3.5416325e+01,1.5992699e-02,9.8534832e-01
4.1810539e+01,1.4515000e-02,9.8267356e-01
4.9359188e+01,1.3140800e-02,9.7950206e-01
5.8270699e+01,1.1888900e-02,9.7579152e-01
6.8791138e+01,1.0753100e-02,9.7147764e-01
8.1210976e+01,9.6729500e-03,9.6632179e-01
1.0000000e+02,8.3487500e-03,9.5815726e-01
1.1318250e+02,7.5514498e-03,9.5196389e-01
1.3361693e+02,6.4820601e-03,9.4147955e-01
1.5774069e+02,5.4304898e-03,9.2756010e-01
1.8621985e+02,4.4014798e-03,9.0838571e-01
2.1984077e+02,3.4539800e-03,8.8215022e-01
2.5953177e+02,2.6210900e-03,8.4645713e-01
3.0000000e+02,2.0412100e-03,8.0826237e-01
3.6170541e+02,1.4496600e-03,7.4775355e-01
4.2700922e+02,1.0533300e-03,6.8440454e-01
5.0410324e+02,7.5206399e-04,6.1351017e-01
5.9511621e+02,5.3272903e-04,5.4026862e-01
7.0256097e+02,3.6830601e-04,4.6535964e-01
8.2940424e+02,2.4867099e-04,3.9274950e-01
1.0000000e+03,1.5843000e-04,3.2026202e-01
1.1559279e+03,1.1047900e-04,2.7081516e-01
1.3646240e+03,7.1909701e-05,2.2101202e-01
1.6109990e+03,4.6078199e-05,1.7853262e-01
1.9018555e+03,2.9081701e-05,1.4286383e-01
2.2452244e+03,1.8131401e-05,1.1345387e-01
2.6505867e+03,1.1422500e-05,9.0437191e-02
3.0000000e+03,7.7779196e-06,7.4850091e-02
3.6940818e+03,4.1641001e-06,5.4968191e-02
4.3610269e+03,2.5292900e-06,4.2933386e-02
5.1483853e+03,1.5286000e-06,3.3433180e-02
6.0778960e+03,8.9277398e-07,2.5585852e-02
7.1752246e+03,5.2636500e-07,1.9664356e-02
8.4706699e+03,3.1120200e-07,1.5128666e-02
1.0000000e+04,1.8717600e-07,1.1734758e-02
