E,<Daa>,Prec_Ratio
9.9999994e-02,0.0000000e+00,0.0000000e+00
1.1318249e-01,0.0000000e+00,0.0000000e+00
1.3361694e-01,0.0000000e+00,0.0000000e+00
1.5774070e-01,0.0000000e+00,0.0000000e+00
1.8621986e-01,0.0000000e+00,0.0000000e+00
2.1984078e-01,0.0000000e+00,0.0000000e+00
2.5953174e-01,0.0000000e+00,0.0000000e+00
3.0000001e-01,0.0000000e+00,0.0000000e+00
3.6170539e-01,0.0000000e+00,0.0000000e+00
4.2700922e-01,0.0000000e+00,0.0000000e+00
5.0410324e-01,0.0000000e+00,0.0000000e+00
5.9511620e-01,0.0000000e+00,0.0000000e+00
7.0256096e-01,0.0000000e+00,0.0000000e+00
8.2940429e-01,0.0000000e+00,0.0000000e+00
1.0000000e+00,1.1255000e-09,3.6051471e-03
1.1318250e+00,9.2352197e-09,1.0105920e-02
1.3361694e+00,4.1947299e-08,2.0635924e-02
1.5774070e+00,1.5222400e-07,3.7565996e-02
1.8621986e+00,6.0537599e-07,7.1253004e-02
2.1984079e+00,2.9921400e-06,1.4872794e-01
2.5953176e+00,8.7141497e-03,9.9230482e-01
3.0000000e+00,2.0789500e-02,9.9651452e-01
3.6170540e+00,2.8424300e-02,9.9720074e-01
4.2700920e+00,3.3181999e-02,9.9739641e-01
5.0410328e+00,3.6367901e-02,9.9742174e-01
5.9511619e+00,3.7694700e-02,9.9730124e-01
7.0256095e+00,3.7079100e-02,9.9702477e-01
8.2940426e+00,3.4655500e-02,9.9654978e-01
1.0000000e+01,3.0282900e-02,9.9568016e-01
1.1318249e+01,2.6820401e-02,9.9482665e-01
1.3361693e+01,2.1967201e-02,9.9317235e-01
1.5774070e+01,1.7327299e-02,9.9065890e-01
1.8621986e+01,1.3236200e-02,9.8683519e-01
2.1984077e+01,9.8511605e-03,9.8102207e-01
2.5953175e+01,7.1874200e-03,9.7223085e-01
3.0000000e+01,5.3947498e-03,9.6105486e-01
3.5416325e+01,3.8513499e-03,9.4267811e-01
4.1810539e+01,2.7375501e-03,9.1640286e-01
4.9359188e+01,1.9446000e-03,8.8020977e-01
5.8270699e+01,1.3842200e-03,8.3267565e-01
6.8791138e+01,9.8824804e-04,7.7358096e-01
8.1210976e+01,6.7068200e-04,6.9464530e-01
1.0000000e+02,4.1760900e-04,5.8715869e-01
1.1318250e+02,3.1701699e-04,5.2377920e-01
1.3361693e+02,2.2007700e-04,4.4387221e-01
1.5774069e+02,1.5295700e-04,3.7212965e-01
1.8621985e+02,1.0581300e-04,3.0914056e-01
2.1984077e+02,7.2423602e-05,2.5444827e-01
2.5953177e+02,4.8699600e-05,2.0714308e-01
3.0000000e+02,3.3771601e-05,1.7125661e-01
3.6170541e+02,2.0609799e-05,1.3245474e-01
4.2700922e+02,1.3310400e-05,1.0546396e-01
5.0410324e+02,8.5978700e-06,8.4000652e-02
5.9511621e+02,5.5556702e-06,6.6955947e-02
7.0256097e+02,3.5847499e-06,5.3374861e-02
8.2940424e+02,2.3059099e-06,4.2521927e-02
1.0000000e+03,1.3962100e-06,3.2874926e-02
1.1559279e+03,9.4327402e-07,2.6907363e-02
1.3646240e+03,5.9987400e-07,2.1369708e-02
1.6109990e+03,3.7993800e-07,1.6948580e-02
1.9018555e+03,2.3961900e-07,1.3420635e-02
2.2452244e+03,1.5059500e-07,1.0612110e-02
2.6505867e+03,9.4310799e-08,8.3774671e-03
3.0000000e+03,6.6375797e-08,7.0145844e-03
3.6940818e+03,3.6659600e-08,5.1926773e-03
4.3610269e+03,2.2777799e-08,4.0751471e-03
5.1483853e+03,1.4129900e-08,3.1888270e-03
6.0778960e+03,8.7586596e-09,0.0000000e+00
7.1752246e+03,5.4262101e-09,0.0000000e+00
8.4706699e+03,3.3632299e-09,0.0000000e+00
1.0000000e+04,2.0867399e-09,0.0000000e+00
