E,<Daa>,Prec_Ratio
9.9999994e-02,0.0000000e+00,0.0000000e+00
1.1318249e-01,0.0000000e+00,0.0000000e+00
1.3361694e-01,0.0000000e+00,0.0000000e+00
1.5774070e-01,0.0000000e+00,0.0000000e+00
1.8621986e-01,0.0000000e+00,0.0000000e+00
2.1984078e-01,0.0000000e+00,0.0000000e+00
2.5953174e-01,0.0000000e+00,0.0000000e+00
3.0000001e-01,0.0000000e+00,0.0000000e+00
3.6170539e-01,0.0000000e+00,0.0000000e+00
4.2700922e-01,0.0000000e+00,0.0000000e+00
5.0410324e-01,0.0000000e+00,0.0000000e+00
5.9511620e-01,0.0000000e+00,0.0000000e+00
7.0256096e-01,0.0000000e+00,0.0000000e+00
8.2940429e-01,0.0000000e+00,0.0000000e+00
1.0000000e+00,5.0143999e-08,1.1314990e-02
1.1318250e+00,5.1735401e-07,3.5067231e-02
1.3361694e+00,1.7453600e-06,6.1380459e-02
1.5774070e+00,2.3706100e-06,6.8509233e-02
1.8621986e+00,2.4507999e-05,2.0323615e-01
2.1984079e+00,4.1403799e-04,6.3517802e-01
2.5953176e+00,1.5540300e-03,8.4130080e-01
3.0000000e+00,4.7470899e-03,9.3541220e-01
3.6170540e+00,1.6517200e-02,9.7836482e-01
4.2700920e+00,2.2456501e-02,9.8262550e-01
5.0410328e+00,2.6994901e-02,9.8427812e-01
5.9511619e+00,3.0532800e-02,9.8490413e-01
7.0256095e+00,3.2937702e-02,9.8482082e-01
8.2940426e+00,3.3999801e-02,9.8406815e-01
1.0000000e+01,3.3469100e-02,9.8231462e-01
1.1318249e+01,3.2168400e-02,9.8050931e-01
1.3361693e+01,2.9455399e-02,9.7704870e-01
1.5774070e+01,2.5975700e-02,9.7201360e-01
1.8621986e+01,2.2136500e-02,9.6481474e-01
2.1984077e+01,1.8306900e-02,9.5464277e-01
2.5953175e+01,1.4758700e-02,9.4042707e-01
3.0000000e+01,1.2019800e-02,9.2367847e-01
3.5416325e+01,9.3523804e-03,8.9817684e-01
4.1810539e+01,7.1887099e-03,8.6459968e-01
4.9359188e+01,5.4846401e-03,8.2206425e-01
5.8270699e+01,4.1677901e-03,7.7055112e-01
6.8791138e+01,3.1611100e-03,7.1118621e-01
8.1210976e+01,2.3962699e-03,6.4629744e-01
1.0000000e+02,1.6722101e-03,5.5941621e-01
1.1318250e+02,1.3393600e-03,5.0701920e-01
1.3361693e+02,9.9290803e-04,4.4009953e-01
1.5774069e+02,7.3557597e-04,3.7904926e-01
1.8621985e+02,5.4438598e-04,3.2473005e-01
2.1984077e+02,4.0178301e-04,2.7701716e-01
2.5953177e+02,2.9525801e-04,2.3543960e-01
3.0000000e+02,2.2440100e-04,2.0360862e-01
3.6170541e+02,1.5580800e-04,1.6789993e-01
4.2700922e+02,1.1120700e-04,1.4060154e-01
5.0410324e+02,7.8212302e-05,1.1695586e-01
5.9511621e+02,5.3995798e-05,9.6470388e-02
7.0256097e+02,3.6888901e-05,7.9221035e-02
8.2940424e+02,2.5202600e-05,6.5106473e-02
1.0000000e+03,1.6379900e-05,5.2200321e-02
1.1559279e+03,1.1768000e-05,4.4087140e-02
1.3646240e+03,8.0808604e-06,3.6408243e-02
1.6109990e+03,5.5563000e-06,3.0106399e-02
1.9018555e+03,3.8269900e-06,2.4930563e-02
2.2452244e+03,2.6586899e-06,2.0742738e-02
2.6505867e+03,1.8557899e-06,1.7305337e-02
3.0000000e+03,1.4328100e-06,1.5192242e-02
3.6940818e+03,9.2831300e-07,1.2212995e-02
4.3610269e+03,6.6694298e-07,1.0342367e-02
5.1483853e+03,4.7868701e-07,8.7538135e-03
6.0778960e+03,3.4297199e-07,7.4018851e-03
7.1752246e+03,2.4887100e-07,6.2972391e-03
8.4706699e+03,1.8004900e-07,5.3473896e-03
1.0000000e+04,1.3003300e-07,4.5342592e-03
