E,<Daa>,Prec_Ratio
9.9999994e-02,0.0000000e+00,0.0000000e+00
1.1318249e-01,0.0000000e+00,0.0000000e+00
1.3361694e-01,0.0000000e+00,0.0000000e+00
1.5774070e-01,0.0000000e+00,0.0000000e+00
1.8621986e-01,0.0000000e+00,0.0000000e+00
2.1984078e-01,0.0000000e+00,0.0000000e+00
2.5953174e-01,0.0000000e+00,0.0000000e+00
3.0000001e-01,3.0390199e-06,2.3935326e-01
3.6170539e-01,1.1903400e-06,1.4716042e-01
4.2700922e-01,1.0590300e-06,1.3369516e-01
5.0410324e-01,1.1032100e-06,1.3102055e-01
5.9511620e-01,1.2795200e-06,1.3521262e-01
7.0256096e-01,1.8758400e-06,1.5611003e-01
8.2940429e-01,3.5884700e-06,2.0411917e-01
1.0000000e+00,1.0543800e-05,3.2062905e-01
1.1318250e+00,2.7493001e-05,4.6884462e-01
1.3361694e+00,1.5298300e-04,7.7569185e-01
1.5774070e+00,1.3650300e-01,9.9961267e-01
1.8621986e+00,2.4946000e-01,9.9976977e-01
2.1984079e+00,3.0525300e-01,9.9979566e-01
2.5953176e+00,3.4533399e-01,9.9980386e-01
3.0000000e+00,3.6777699e-01,9.9980211e-01
3.6170540e+00,3.7636799e-01,9.9978786e-01
4.2700920e+00,3.6378700e-01,9.9976177e-01
5.0410328e+00,3.3431000e-01,9.9971866e-01
5.9511619e+00,2.9259700e-01,9.9965123e-01
7.0256095e+00,2.4458800e-01,9.9954744e-01
8.2940426e+00,1.9603200e-01,9.9938774e-01
1.0000000e+01,1.4612800e-01,9.9910067e-01
1.1318249e+01,1.1765800e-01,9.9881441e-01
1.3361693e+01,8.6019598e-02,9.9824450e-01
1.5774070e+01,6.1618201e-02,9.9734953e-01
1.8621986e+01,4.3513000e-02,9.9594592e-01
2.1984077e+01,3.0507900e-02,9.9376522e-01
2.5953175e+01,2.1371299e-02,9.9042602e-01
3.0000000e+01,1.5705099e-02,9.8615119e-01
3.5416325e+01,1.1093000e-02,9.7905722e-01
4.1810539e+01,7.8881299e-03,9.6872326e-01
4.9359188e+01,5.2883602e-03,9.5104628e-01
5.8270699e+01,3.5673899e-03,9.2494739e-01
6.8791138e+01,2.4291300e-03,8.8821286e-01
8.1210976e+01,1.6670600e-03,8.3898043e-01
1.0000000e+02,1.0467500e-03,7.5874091e-01
1.1318250e+02,7.9291698e-04,7.0197909e-01
1.3361693e+02,5.4377801e-04,6.1835086e-01
1.5774069e+02,3.6879501e-04,5.3060135e-01
1.8621985e+02,2.4540399e-04,4.4371718e-01
2.1984077e+02,1.5891400e-04,3.6187738e-01
2.5953177e+02,1.0279000e-04,2.9231643e-01
3.0000000e+02,7.0091897e-05,2.4126424e-01
3.6170541e+02,4.3664200e-05,1.8951977e-01
4.2700922e+02,2.8781000e-05,1.5297287e-01
5.0410324e+02,1.9361400e-05,1.2462996e-01
5.9511621e+02,1.3067700e-05,1.0171864e-01
7.0256097e+02,8.8804700e-06,8.3338284e-02
8.2940424e+02,6.0487200e-06,6.8402368e-02
1.0000000e+03,3.9890601e-06,5.5249173e-02
1.1559279e+03,2.9269900e-06,4.7157049e-02
1.3646240e+03,2.0721700e-06,3.9541968e-02
1.6109990e+03,1.4735500e-06,3.3252941e-02
1.9018555e+03,1.0629300e-06,2.8179854e-02
2.2452244e+03,7.6494200e-07,2.3864977e-02
2.6505867e+03,5.5594899e-07,2.0318245e-02
3.0000000e+03,4.3769199e-07,1.8014031e-02
3.6940818e+03,2.9423700e-07,1.4754225e-02
4.3610269e+03,2.1379300e-07,1.2567980e-02
5.1483853e+03,1.5595100e-07,1.0727110e-02
6.0778960e+03,1.1381100e-07,9.1577017e-03
7.1752246e+03,8.2560703e-08,7.7934691e-03
8.4706699e+03,6.0119397e-08,6.6436380e-03
1.0000000e+04,4.3558000e-08,5.6471368e-03
